,State full,County,People with at least one vaccine dose,Black,White
0,New Jersey,ATLANTIC,,,
1,New Jersey,BERGEN,,,
2,New Jersey,BURLINGTON,,,
3,New Jersey,CAMDEN,,,
4,New Jersey,CAPE MAY,,,
5,New Jersey,CUMBERLAND,,,
6,New Jersey,ESSEX,,,
7,New Jersey,GLOUCESTER,,,
8,New Jersey,HUDSON,,,
9,New Jersey,HUNTERDON,,,
10,New Jersey,MERCER,,,
11,New Jersey,MIDDLESEX,,,
12,New Jersey,MONMOUTH,,,
13,New Jersey,MORRIS,,,
14,New Jersey,OCEAN,,,
15,New Jersey,PASSAIC,,,
16,New Jersey,SALEM,,,
17,New Jersey,SOMERSET,,,
18,New Jersey,SUSSEX,,,
19,New Jersey,UNION,,,
20,New Jersey,WARREN,,,
