,State full,County,People with at least one vaccine dose,Black,White
0,New Jersey,ATLANTIC,98694,7,61
1,New Jersey,BERGEN,340965,3,55
2,New Jersey,BURLINGTON,162532,5,70
3,New Jersey,CAMDEN,181590,7,64
4,New Jersey,CAPE MAY,39546,2,79
5,New Jersey,CUMBERLAND,44315,9,57
6,New Jersey,ESSEX,248657,16,46
7,New Jersey,GLOUCESTER,107528,5,77
8,New Jersey,HUDSON,192694,5,33
9,New Jersey,HUNTERDON,44051,1,71
10,New Jersey,MERCER,125405,9,54
11,New Jersey,MIDDLESEX,271245,4,44
12,New Jersey,MONMOUTH,230948,3,69
13,New Jersey,MORRIS,216860,2,65
14,New Jersey,OCEAN,185375,1,73
15,New Jersey,PASSAIC,144629,4,47
16,New Jersey,SALEM,19809,7,73
17,New Jersey,SOMERSET,127637,4,53
18,New Jersey,SUSSEX,48803,1,78
19,New Jersey,UNION,171320,9,48
20,New Jersey,WARREN,30870,2,74
