,State full,County,People with at least one vaccine dose,Black Rate,White Rate
0,New Jersey,ATLANTIC,115184,7,60
1,New Jersey,BERGEN,411705,3,53
2,New Jersey,BURLINGTON,192405,5,69
3,New Jersey,CAMDEN,214046,8,63
4,New Jersey,CAPE MAY,45041,2,80
5,New Jersey,CUMBERLAND,52591,10,55
6,New Jersey,ESSEX,307267,17,43
7,New Jersey,GLOUCESTER,127108,6,77
8,New Jersey,HUDSON,256122,5,31
9,New Jersey,HUNTERDON,56190,1,72
10,New Jersey,MERCER,152803,9,53
11,New Jersey,MIDDLESEX,335780,5,43
12,New Jersey,MONMOUTH,269688,3,70
13,New Jersey,MORRIS,253975,2,65
14,New Jersey,OCEAN,219248,1,74
15,New Jersey,PASSAIC,182614,4,45
16,New Jersey,SALEM,23196,8,74
17,New Jersey,SOMERSET,155578,4,52
18,New Jersey,SUSSEX,58731,1,79
19,New Jersey,UNION,219095,10,46
20,New Jersey,WARREN,36787,2,75
