,State full,County,People with at least one vaccine dose,Black,White
0,New Jersey,ATLANTIC,122896,8,58
1,New Jersey,BERGEN,455727,3,51
2,New Jersey,BURLINGTON,210868,6,68
3,New Jersey,CAMDEN,231760,9,62
4,New Jersey,CAPE MAY,48098,2,80
5,New Jersey,CUMBERLAND,56252,10,53
6,New Jersey,ESSEX,341307,19,41
7,New Jersey,GLOUCESTER,136063,6,76
8,New Jersey,HUDSON,286910,5,30
9,New Jersey,HUNTERDON,61315,1,72
10,New Jersey,MERCER,171862,9,51
11,New Jersey,MIDDLESEX,385368,5,41
12,New Jersey,MONMOUTH,298133,5,70
13,New Jersey,MORRIS,273768,2,64
14,New Jersey,OCEAN,238408,2,75
15,New Jersey,PASSAIC,203757,5,44
16,New Jersey,SALEM,24763,8,73
17,New Jersey,SOMERSET,173909,5,51
18,New Jersey,SUSSEX,64189,1,79
19,New Jersey,UNION,240337,11,44
20,New Jersey,WARREN,40209,2,75
