,State full,County,People with at least one vaccine dose,Black,White
0,New Jersey,ATLANTIC,125130,8,58
1,New Jersey,BERGEN,465350,3,51
2,New Jersey,BURLINGTON,215289,6,68
3,New Jersey,CAMDEN,236808,9,62
4,New Jersey,CAPE MAY,48796,2,80
5,New Jersey,CUMBERLAND,57493,10,53
6,New Jersey,ESSEX,349454,19,41
7,New Jersey,GLOUCESTER,138476,6,76
8,New Jersey,HUDSON,296461,5,29
9,New Jersey,HUNTERDON,62894,1,73
10,New Jersey,MERCER,176882,9,51
11,New Jersey,MIDDLESEX,396867,5,41
12,New Jersey,MONMOUTH,303704,4,70
13,New Jersey,MORRIS,278792,2,64
14,New Jersey,OCEAN,243674,2,75
15,New Jersey,PASSAIC,211063,5,43
16,New Jersey,SALEM,25243,8,73
17,New Jersey,SOMERSET,178304,5,51
18,New Jersey,SUSSEX,66003,1,79
19,New Jersey,UNION,247258,11,43
20,New Jersey,WARREN,41616,2,75
