,State full,County,American Indian/Alaskan,Asian,Black,Native Hawaiian/Pacific Islander,NA,White
0,Maine,ANDROSCOGGIN,27,55,183,4,3825,8464
1,Maine,AROOSTOOK,155,26,42,1,2861,7827
2,Maine,CUMBERLAND,205,586,785,43,11564,36129
3,Maine,FRANKLIN,5,7,5,0,568,2366
4,Maine,HANCOCK,22,26,18,2,1243,5784
5,Maine,KENNEBEC,42,86,58,14,2868,10492
6,Maine,KNOX,8,15,15,2,839,4696
7,Maine,LINCOLN,5,25,9,0,664,5120
8,Maine,OXFORD,12,23,24,2,1001,5194
9,Maine,PENOBSCOT,123,161,123,21,4582,16014
10,Maine,PISCATAQUIS,14,5,3,3,341,1914
11,Maine,SAGADAHOC,12,31,30,5,1498,4698
12,Maine,SOMERSET,21,11,12,7,1132,4034
13,Maine,WALDO,17,13,10,5,758,4373
14,Maine,WASHINGTON,358,13,14,5,1189,2823
15,Maine,YORK,61,125,133,14,5064,17975
