,State full,County,People with at least one vaccine dose,Black,White
0,New Jersey,ATLANTIC,98073,7,61
1,New Jersey,BERGEN,335003,3,55
2,New Jersey,BURLINGTON,160046,5,70
3,New Jersey,CAMDEN,178970,7,65
4,New Jersey,CAPE MAY,39272,2,79
5,New Jersey,CUMBERLAND,44013,9,57
6,New Jersey,ESSEX,242989,16,46
7,New Jersey,GLOUCESTER,106290,5,77
8,New Jersey,HUDSON,185475,5,33
9,New Jersey,HUNTERDON,43377,1,71
10,New Jersey,MERCER,122013,9,54
11,New Jersey,MIDDLESEX,266074,4,44
12,New Jersey,MONMOUTH,227788,3,69
13,New Jersey,MORRIS,213782,2,65
14,New Jersey,OCEAN,182384,1,73
15,New Jersey,PASSAIC,141742,4,47
16,New Jersey,SALEM,19606,7,73
17,New Jersey,SOMERSET,125733,4,53
18,New Jersey,SUSSEX,47947,1,78
19,New Jersey,UNION,167479,9,48
20,New Jersey,WARREN,30487,2,74
