,State full,County,People with at least one vaccine dose,Black,White
0,New Jersey,ATLANTIC,83292,6,63
1,New Jersey,BERGEN,284175,2,56
2,New Jersey,BURLINGTON,134587,5,70
3,New Jersey,CAMDEN,154285,7,65
4,New Jersey,CAPE MAY,34984,1,77
5,New Jersey,CUMBERLAND,38769,8,57
6,New Jersey,ESSEX,197096,14,48
7,New Jersey,GLOUCESTER,94694,5,77
8,New Jersey,HUDSON,137027,5,34
9,New Jersey,HUNTERDON,35245,1,69
10,New Jersey,MERCER,97653,8,56
11,New Jersey,MIDDLESEX,214243,4,46
12,New Jersey,MONMOUTH,193226,3,69
13,New Jersey,MORRIS,184636,2,65
14,New Jersey,OCEAN,158070,1,72
15,New Jersey,PASSAIC,115148,4,49
16,New Jersey,SALEM,17520,7,72
17,New Jersey,SOMERSET,101962,4,53
18,New Jersey,SUSSEX,39866,1,77
19,New Jersey,UNION,135546,9,50
20,New Jersey,WARREN,26092,2,74
