GEOID,date,state,county,percent_new_test_results_reported_positive_7_day_rolling_average
6001,2021-04-07,CA,Alameda County,1.3
6003,2021-04-07,CA,Alpine County,0.0
6005,2021-04-07,CA,Amador County,0.0
6007,2021-04-07,CA,Butte County,3.1
6009,2021-04-07,CA,Calaveras County,0.0
6011,2021-04-07,CA,Colusa County,0.0
6013,2021-04-07,CA,Contra Costa County,1.81
6015,2021-04-07,CA,Del Norte County,0.0
6017,2021-04-07,CA,El Dorado County,3.4
6019,2021-04-07,CA,Fresno County,3.29
6021,2021-04-07,CA,Glenn County,0.0
6023,2021-04-07,CA,Humboldt County,1.19
6025,2021-04-07,CA,Imperial County,5.48
6027,2021-04-07,CA,Inyo County,0.0
6029,2021-04-07,CA,Kern County,1.79
6031,2021-04-07,CA,Kings County,1.12
6033,2021-04-07,CA,Lake County,2.55
6035,2021-04-07,CA,Lassen County,0.0
6037,2021-04-07,CA,Los Angeles County,1.48
6039,2021-04-07,CA,Madera County,2.22
6041,2021-04-07,CA,Marin County,0.93
6043,2021-04-07,CA,Mariposa County,0.0
6045,2021-04-07,CA,Mendocino County,1.1400000000000001
6047,2021-04-07,CA,Merced County,4.76
6049,2021-04-07,CA,Modoc County,0.0
6051,2021-04-07,CA,Mono County,0.0
6053,2021-04-07,CA,Monterey County,1.15
6055,2021-04-07,CA,Napa County,2.55
6057,2021-04-07,CA,Nevada County,4.49
6059,2021-04-07,CA,Orange County,1.73
6061,2021-04-07,CA,Placer County,4.21
6063,2021-04-07,CA,Plumas County,0.0
6065,2021-04-07,CA,Riverside County,2.21
6067,2021-04-07,CA,Sacramento County,3.45
6069,2021-04-07,CA,San Benito County,4.18
6071,2021-04-07,CA,San Bernardino County,2.14
6073,2021-04-07,CA,San Diego County,2.46
6075,2021-04-07,CA,San Francisco County,1.0
6077,2021-04-07,CA,San Joaquin County,3.26
6079,2021-04-07,CA,San Luis Obispo County,1.98
6081,2021-04-07,CA,San Mateo County,0.9400000000000001
6083,2021-04-07,CA,Santa Barbara County,2.41
6085,2021-04-07,CA,Santa Clara County,1.19
6087,2021-04-07,CA,Santa Cruz County,1.02
6089,2021-04-07,CA,Shasta County,2.56
6091,2021-04-07,CA,Sierra County,0.0
6093,2021-04-07,CA,Siskiyou County,0.0
6095,2021-04-07,CA,Solano County,1.9100000000000001
6097,2021-04-07,CA,Sonoma County,1.55
6099,2021-04-07,CA,Stanislaus County,4.69
6101,2021-04-07,CA,Sutter County,4.4
6103,2021-04-07,CA,Tehama County,4.91
6105,2021-04-07,CA,Trinity County,0.0
6107,2021-04-07,CA,Tulare County,1.92
6109,2021-04-07,CA,Tuolumne County,0.67
6111,2021-04-07,CA,Ventura County,1.29
6113,2021-04-07,CA,Yolo County,0.58
6115,2021-04-07,CA,Yuba County,4.22
17001,2021-04-07,IL,Adams County,1.58
17003,2021-04-07,IL,Alexander County,3.34
17005,2021-04-07,IL,Bond County,1.3
17007,2021-04-07,IL,Boone County,8.61
17009,2021-04-07,IL,Brown County,0.0
17011,2021-04-07,IL,Bureau County,7.85
17013,2021-04-07,IL,Calhoun County,2.38
17015,2021-04-07,IL,Carroll County,7.19
17017,2021-04-07,IL,Cass County,2.55
17019,2021-04-07,IL,Champaign County,0.71
17021,2021-04-07,IL,Christian County,2.49
17023,2021-04-07,IL,Clark County,4.13
17025,2021-04-07,IL,Clay County,0.71
17027,2021-04-07,IL,Clinton County,0.77
17029,2021-04-07,IL,Coles County,2.52
17031,2021-04-07,IL,Cook County,5.44
17033,2021-04-07,IL,Crawford County,2.88
17035,2021-04-07,IL,Cumberland County,4.37
17039,2021-04-07,IL,De Witt County,4.62
17037,2021-04-07,IL,DeKalb County,8.33
17041,2021-04-07,IL,Douglas County,2.17
17043,2021-04-07,IL,DuPage County,7.18
17045,2021-04-07,IL,Edgar County,9.41
17047,2021-04-07,IL,Edwards County,7.62
17049,2021-04-07,IL,Effingham County,6.82
17051,2021-04-07,IL,Fayette County,2.32
17053,2021-04-07,IL,Ford County,1.8599999999999999
17055,2021-04-07,IL,Franklin County,3.15
17057,2021-04-07,IL,Fulton County,9.54
17059,2021-04-07,IL,Gallatin County,0.46
17061,2021-04-07,IL,Greene County,2.6
17063,2021-04-07,IL,Grundy County,7.61
17065,2021-04-07,IL,Hamilton County,1.03
17067,2021-04-07,IL,Hancock County,9.13
17069,2021-04-07,IL,Hardin County,0.0
17071,2021-04-07,IL,Henderson County,2.04
17073,2021-04-07,IL,Henry County,5.5
17075,2021-04-07,IL,Iroquois County,2.56
17077,2021-04-07,IL,Jackson County,3.8
17079,2021-04-07,IL,Jasper County,1.06
17081,2021-04-07,IL,Jefferson County,4.35
17083,2021-04-07,IL,Jersey County,6.48
17085,2021-04-07,IL,Jo Daviess County,14.62
17087,2021-04-07,IL,Johnson County,0.22
17089,2021-04-07,IL,Kane County,8.88
17091,2021-04-07,IL,Kankakee County,5.91
17093,2021-04-07,IL,Kendall County,9.74
17095,2021-04-07,IL,Knox County,2.88
17097,2021-04-07,IL,Lake County,4.2
17099,2021-04-07,IL,LaSalle County,5.1
17101,2021-04-07,IL,Lawrence County,2.05
17103,2021-04-07,IL,Lee County,6.01
17105,2021-04-07,IL,Livingston County,5.47
17107,2021-04-07,IL,Logan County,4.75
17115,2021-04-07,IL,Macon County,3.87
17117,2021-04-07,IL,Macoupin County,4.9
17119,2021-04-07,IL,Madison County,5.57
17121,2021-04-07,IL,Marion County,0.4
17123,2021-04-07,IL,Marshall County,6.93
17125,2021-04-07,IL,Mason County,6.28
17127,2021-04-07,IL,Massac County,3.17
17109,2021-04-07,IL,McDonough County,8.7
17111,2021-04-07,IL,McHenry County,6.7
17113,2021-04-07,IL,McLean County,6.27
17129,2021-04-07,IL,Menard County,6.57
17131,2021-04-07,IL,Mercer County,2.49
17133,2021-04-07,IL,Monroe County,8.48
17135,2021-04-07,IL,Montgomery County,1.87
17137,2021-04-07,IL,Morgan County,2.23
17139,2021-04-07,IL,Moultrie County,7.3
17141,2021-04-07,IL,Ogle County,8.55
17143,2021-04-07,IL,Peoria County,13.49
17145,2021-04-07,IL,Perry County,1.08
17147,2021-04-07,IL,Piatt County,1.16
17149,2021-04-07,IL,Pike County,4.12
17151,2021-04-07,IL,Pope County,0.0
17153,2021-04-07,IL,Pulaski County,3.25
17155,2021-04-07,IL,Putnam County,1.1
17157,2021-04-07,IL,Randolph County,2.55
17159,2021-04-07,IL,Richland County,2.19
17161,2021-04-07,IL,Rock Island County,6.51
17165,2021-04-07,IL,Saline County,4.75
17167,2021-04-07,IL,Sangamon County,3.35
17169,2021-04-07,IL,Schuyler County,0.84
17171,2021-04-07,IL,Scott County,0.9500000000000001
17173,2021-04-07,IL,Shelby County,3.06
17163,2021-04-07,IL,St. Clair County,5.18
17175,2021-04-07,IL,Stark County,17.05
17177,2021-04-07,IL,Stephenson County,6.99
17179,2021-04-07,IL,Tazewell County,10.07
17181,2021-04-07,IL,Union County,0.86
17183,2021-04-07,IL,Vermilion County,2.1
