GEOID,MeanInc_Whole,MeanInc_White,MeanInc_NHWhite,MeanInc_Black
01001,29819.0,33021.0,33009.0,19610.0
01003,32626.0,34639.0,35159.0,18565.0
01005,18473.0,25581.0,25916.0,12369.0
01007,20778.0,23509.0,23610.0,10938.0
01009,24747.0,25176.0,26575.0,15911.0
01011,20877.0,36958.0,37578.0,16786.0
01013,21038.0,26867.0,26932.0,15009.0
01015,25345.0,27522.0,27824.0,19768.0
01017,22729.0,24632.0,24751.0,20203.0
01019,24301.0,24994.0,25090.0,20091.0
01021,24658.0,26258.0,26727.0,20938.0
01023,22308.0,27342.0,27419.0,15667.0
01025,22225.0,28376.0,28445.0,14734.0
01027,23519.0,24874.0,25503.0,17999.0
01029,23142.0,23536.0,23254.0,22518.0
01031,27806.0,30943.0,31539.0,19480.0
01033,25536.0,27250.0,27432.0,19705.0
01035,19769.0,22659.0,22821.0,17162.0
01037,23694.0,27161.0,27336.0,17305.0
01039,23687.0,25453.0,25626.0,14107.0
01041,24563.0,25907.0,25788.0,21506.0
01043,23468.0,23965.0,24363.0,19461.0
01045,24645.0,27426.0,27885.0,18034.0
01047,19612.0,29914.0,29984.0,15501.0
01049,21907.0,23555.0,24522.0,15777.0
01051,29052.0,32086.0,32365.0,18446.0
01053,19028.0,22822.0,22736.0,11449.0
01055,24883.0,26936.0,27223.0,17298.0
01057,22483.0,24175.0,24289.0,14202.0
01059,21641.0,23105.0,23803.0,21544.0
01061,21711.0,22859.0,23285.0,12691.0
01063,14884.0,28590.0,28670.0,12300.0
01065,21191.0,31341.0,31341.0,14668.0
01067,25276.0,29092.0,29356.0,16004.0
01069,27097.0,31316.0,31884.0,17442.0
01071,22596.0,23050.0,23310.0,18070.0
01073,32098.0,42143.0,42899.0,21270.0
01075,22636.0,23668.0,23956.0,16493.0
01077,28033.0,29030.0,29455.0,20506.0
01079,23450.0,23347.0,23643.0,19671.0
01081,27860.0,31401.0,31815.0,19022.0
01083,28411.0,29809.0,30589.0,23824.0
01085,20209.0,34028.0,34177.0,15575.0
01087,20419.0,26642.0,25782.0,19222.0
01089,36620.0,41208.0,42118.0,25406.0
01091,25635.0,28130.0,28636.0,23594.0
01093,21311.0,22046.0,22078.0,14334.0
01095,24453.0,24916.0,26908.0,16125.0
01097,25861.0,31131.0,31280.0,18087.0
01099,20527.0,26206.0,26163.0,12699.0
01101,29071.0,42430.0,43845.0,20974.0
01103,27367.0,29723.0,30617.0,18808.0
01105,15055.0,19699.0,19738.0,13129.0
01107,23024.0,29716.0,31134.0,14611.0
