GEOID,MedianInc_Whole,MedianInc_White,MedianInc_NHWhite,MedianInc_Black
01001,58731.0,66540.0,65992.0,28808.0
01003,58320.0,61505.0,61872.0,36616.0
01005,32525.0,46815.0,47175.0,22357.0
01007,47542.0,52388.0,52543.0,21964.0
01009,49358.0,49289.0,49529.0,77518.0
01011,37785.0,65000.0,65795.0,28889.0
01013,40688.0,50368.0,51000.0,29559.0
01015,47255.0,52582.0,52813.0,32712.0
01017,42289.0,48571.0,48571.0,34564.0
01019,41919.0,42796.0,42861.0,25425.0
01021,47468.0,49461.0,49280.0,36901.0
01023,35892.0,48285.0,48401.0,25932.0
01025,37404.0,49410.0,49465.0,25042.0
01027,40845.0,42972.0,43506.0,33056.0
01029,44741.0,46080.0,46277.0,18304.0
01031,55637.0,61346.0,61559.0,34035.0
01033,48065.0,52591.0,52684.0,30268.0
01035,37837.0,40556.0,40677.0,34989.0
01037,38990.0,44694.0,44814.0,31909.0
01039,42189.0,46263.0,46540.0,22000.0
01041,43163.0,48525.0,48279.0,25514.0
01043,44918.0,45719.0,45741.0,39671.0
01045,47214.0,52060.0,52609.0,32394.0
01047,33845.0,54794.0,55534.0,27052.0
01049,40440.0,41666.0,42646.0,26731.0
01051,60891.0,65872.0,66513.0,41857.0
01053,36275.0,45111.0,43494.0,24865.0
01055,44637.0,48108.0,48293.0,27977.0
01057,39856.0,42813.0,42462.0,30169.0
01059,43514.0,44626.0,44314.0,38173.0
01061,41732.0,43092.0,43128.0,25586.0
01063,24145.0,55208.0,55208.0,18356.0
01065,34046.0,57364.0,57364.0,24165.0
01067,50017.0,57926.0,58191.0,31290.0
01069,47580.0,56352.0,57085.0,29458.0
01071,41769.0,41964.0,42074.0,30000.0
01073,53901.0,70771.0,71512.0,38288.0
01075,38364.0,41745.0,41557.0,22396.0
01077,48094.0,50677.0,50843.0,30015.0
01079,44886.0,45728.0,45693.0,29216.0
01081,51463.0,59002.0,59340.0,33907.0
01083,59686.0,61097.0,61800.0,49816.0
01085,30036.0,61552.0,61552.0,23519.0
01087,33370.0,43157.0,42901.0,30712.0
01089,65449.0,75472.0,76767.0,41128.0
01091,33241.0,59456.0,59516.0,22015.0
01093,35930.0,37658.0,37500.0,16613.0
01095,45983.0,46325.0,47400.0,41039.0
01097,47583.0,58888.0,59178.0,31710.0
01099,30441.0,48036.0,47969.0,18403.0
01101,50124.0,69855.0,70544.0,39141.0
01103,52156.0,55632.0,56012.0,31064.0
01105,23447.0,26071.0,26071.0,20000.0
01107,39848.0,60335.0,60546.0,24014.0
01109,37446.0,48103.0,48200.0,23958.0
01111,43395.0,47590.0,48182.0,33510.0
01113,42443.0,47014.0,46291.0,36975.0
01115,58308.0,61169.0,61044.0,39685.0
01117,77799.0,80483.0,80374.0,64796.0
01119,24320.0,52386.0,53235.0,21038.0
01121,41325.0,50100.0,50291.0,29686.0
01123,45828.0,53958.0,53895.0,24648.0
01125,53326.0,64184.0,64724.0,35891.0
01127,43629.0,45504.0,46180.0,26250.0
01129,41370.0,47368.0,48009.0,29196.0
01131,31014.0,44900.0,45688.0,24763.0
01133,35788.0,36698.0,36957.0,
02013,69250.0,83571.0,85417.0,
02016,87466.0,116250.0,120577.0,53750.0
02020,84928.0,94339.0,95838.0,59567.0
02050,53553.0,120000.0,120000.0,120875.0
02060,79808.0,98472.0,99306.0,
02068,81719.0,80469.0,80469.0,
02070,56898.0,101250.0,101875.0,73500.0
02090,76992.0,80979.0,81096.0,69630.0
02100,58059.0,59638.0,59539.0,
02105,59803.0,70833.0,70833.0,
02110,88390.0,92017.0,93409.0,118214.0
02122,66064.0,68157.0,68669.0,
02130,72728.0,81111.0,82338.0,50000.0
02150,85839.0,93398.0,92588.0,
02158,36754.0,,,
02164,44135.0,88125.0,88125.0,
02170,75493.0,77093.0,76967.0,60052.0
02180,61048.0,104750.0,104250.0,87917.0
02185,79306.0,132500.0,135625.0,165450.0
02188,60906.0,122237.0,121974.0,78594.0
