GEOID,winner,votes_R_2020,votes_D_2020,votes_third_party_2020,votes_total_2020,republican,republican_Rate
01001,R,19838,7503,350,27691,1,0.7164060525080351
01003,R,83544,24578,1229,109351,1,0.7639985002423388
01005,R,5622,4816,68,10506,1,0.5351227869788692
01007,R,7525,1986,74,9585,1,0.7850808555033907
01009,R,24711,2640,209,27560,1,0.8966255442670537
01011,R,1146,3446,19,4611,1,0.24853610930383865
01013,R,5458,3965,59,9482,1,0.5756169584475849
01015,R,35101,15216,553,50870,1,0.690013760566149
01017,R,8753,6365,141,15259,1,0.5736286781571531
01019,R,10583,1624,82,12289,1,0.8611766620554968
01021,R,16085,3073,123,19281,1,0.8342409626056739
01023,R,4296,3127,38,7461,1,0.5757941294732609
01025,R,7324,5755,49,13128,1,0.5578915295551493
01027,R,5601,1267,53,6921,1,0.8092761161681837
01029,R,6484,675,60,7219,1,0.8981853442305029
01031,R,16899,5076,264,22239,1,0.7598812896263322
01033,R,19203,8343,272,27818,1,0.6903084333884535
01035,R,3442,2966,32,6440,1,0.534472049689441
01037,R,3631,1796,46,5473,1,0.6634386990681528
01039,R,14586,2721,97,17404,1,0.8380831992645369
01041,R,4864,1700,44,6608,1,0.7360774818401937
01043,R,36880,4478,418,41776,1,0.8828035235541938
01045,R,14303,5170,233,19706,1,0.725819547345986
01047,R,5524,12230,90,17844,1,0.30957184487783007
01049,R,24767,4281,250,29298,1,0.8453478053109428
01051,R,30164,10367,398,40929,1,0.7369835568912019
01053,R,10869,4918,94,15881,1,0.6844027454190542
01055,R,35528,11567,531,47626,1,0.7459790870532902
01057,R,7300,1395,56,8751,1,0.8341903782424865
01059,R,10376,2086,106,12568,1,0.8255887969446213
01061,R,10848,1595,90,12533,1,0.8655549349716748
01063,R,875,3884,8,4767,1,0.18355359765051396
01065,R,3192,4663,37,7892,1,0.40446021287379624
01067,R,6607,2606,69,9282,1,0.7118078000430942
01069,R,32618,12917,533,46068,1,0.7080402882695146
01071,R,19670,3717,208,23595,1,0.8336511972875609
01073,R,138843,181688,3578,324109,1,0.4283836610523003
01075,R,6174,978,33,7185,1,0.8592901878914405
01077,R,31721,11915,537,44173,1,0.718108346727639
01079,R,12322,3562,126,16010,1,0.7696439725171768
01081,R,42221,27860,1019,71100,1,0.5938255977496484
01083,R,34640,13672,748,49060,1,0.7060741948634325
01085,R,1836,4972,26,6834,1,0.26865671641791045
01087,R,1541,7108,52,8701,1,0.17710607976094703
01089,R,102780,87286,3699,193765,1,0.530436353314582
01091,R,5343,5488,59,10890,1,0.490633608815427
01093,R,12205,1463,115,13783,1,0.8855111369077849
01095,R,33191,5943,435,39569,1,0.8388132123632136
01097,R,101243,79474,1938,182655,1,0.554285401439873
01099,R,6147,4455,53,10655,1,0.5769122477709995
01101,R,33311,64529,923,98763,1,0.33728218057369663
01103,R,39664,13234,705,53603,1,0.7399585844075891
01105,R,1339,3860,24,5223,1,0.25636607313804327
01107,R,5594,4022,40,9656,1,0.5793289146644574
01109,R,8042,5636,134,13812,1,0.5822473211699971
01111,R,8559,2203,61,10823,1,0.7908158551233484
01113,R,9864,11228,198,21290,1,0.4633161108501644
01115,R,36166,7744,446,44356,1,0.8153575615474795
01117,R,79700,33268,1462,114430,1,0.6964956742113082
01119,R,1598,4648,37,6283,1,0.25433710011141175
