GEOID,hesitancy,strong_hesitancy
01001,0.22,0.1
01003,0.2,0.1
01005,0.23,0.11
01007,0.24,0.12
01009,0.23,0.11
01011,0.23,0.11
01013,0.23,0.11
01015,0.23,0.11
01017,0.23,0.12
01019,0.23,0.11
01021,0.23,0.12
01023,0.23,0.11
01025,0.23,0.11
01027,0.23,0.11
01029,0.23,0.11
01031,0.23,0.11
01033,0.22,0.11
01035,0.23,0.11
01037,0.23,0.12
01039,0.23,0.11
01041,0.23,0.11
01043,0.22,0.11
01045,0.23,0.11
01047,0.24,0.12
01049,0.24,0.12
01051,0.22,0.1
01053,0.23,0.11
01055,0.23,0.11
01057,0.23,0.11
01059,0.22,0.11
01061,0.23,0.11
01063,0.24,0.12
01065,0.24,0.12
01067,0.23,0.11
01069,0.23,0.11
01071,0.24,0.12
01073,0.2,0.1
01075,0.23,0.11
01077,0.22,0.11
01079,0.22,0.11
01081,0.2,0.09
01083,0.2,0.1
01085,0.22,0.1
01087,0.23,0.11
01089,0.19,0.09
01091,0.24,0.12
01093,0.23,0.11
01095,0.21,0.1
01097,0.22,0.11
01099,0.23,0.11
01101,0.21,0.1
01103,0.22,0.11
01105,0.24,0.12
01107,0.22,0.1
01109,0.23,0.11
01111,0.23,0.11
01113,0.23,0.11
01115,0.23,0.11
01117,0.18,0.08
01119,0.24,0.12
01121,0.23,0.11
01123,0.23,0.12
01125,0.22,0.1
01127,0.23,0.11
01129,0.23,0.11
01131,0.23,0.11
01133,0.22,0.11
02013,0.26,0.12
02016,0.26,0.12
02020,0.18,0.08
02050,0.26,0.12
02060,0.26,0.12
02068,0.21,0.09
02070,0.26,0.12
02090,0.21,0.09
02100,0.21,0.09
02105,0.26,0.12
02110,0.21,0.09
02122,0.2,0.09
02130,0.21,0.09
02150,0.26,0.12
02158,0.26,0.12
02164,0.26,0.12
02170,0.2,0.09
02180,0.26,0.12
02185,0.26,0.12
02188,0.26,0.12
02195,0.26,0.12
02198,0.26,0.12
02220,0.26,0.12
02230,0.21,0.09
02240,0.21,0.09
02261,0.21,0.09
02275,0.26,0.12
02282,0.26,0.12
02290,0.26,0.12
04001,0.27,0.17
04003,0.18,0.11
04005,0.2,0.11
04007,0.19,0.12
04009,0.19,0.12
04011,0.19,0.12
04012,0.18,0.11
04013,0.17,0.1
04015,0.18,0.11
04017,0.27,0.17
04019,0.17,0.1
04021,0.19,0.11
04023,0.18,0.11
04025,0.16,0.09
04027,0.19,0.12
05001,0.22,0.13
05003,0.23,0.14
05005,0.2,0.12
05007,0.19,0.11
05009,0.2,0.12
05011,0.23,0.14
05013,0.21,0.12
05015,0.2,0.12
05017,0.23,0.14
05019,0.21,0.13
05021,0.22,0.13
05023,0.22,0.13
05025,0.23,0.14
05027,0.21,0.12
05029,0.22,0.13
05031,0.22,0.13
05033,0.21,0.13
05035,0.23,0.14
05037,0.24,0.15
05039,0.21,0.12
05041,0.23,0.14
05043,0.23,0.14
05045,0.22,0.13
05047,0.22,0.14
05049,0.22,0.13
05051,0.21,0.13
05053,0.22,0.13
05055,0.22,0.13
05057,0.21,0.13
05059,0.21,0.13
