GEOID,Geographic Area Name,IT_WholeNum,IT_WhiteNum,IT_NHWhiteNum,IT_BlackNum,IT_WholeRate,IT_WhiteRate,IT_NHWhiteRate,IT_BlackRate
01001,"Autauga, Alabama",46771,37224,36341,7410,85.3,88.4,88.8,71.0
01003,"Baldwin, Alabama",180022,157637,152004,14072,85.8,86.9,87.0,74.3
01005,"Barbour, Alabama",14663,7623,7587,6108,65.2,71.0,71.9,58.6
01007,"Bibb, Alabama",15689,13065,12875,2541,76.2,79.6,80.6,62.9
01009,"Blount, Alabama",45013,43201,39453,337,78.8,79.0,79.3,44.5
01011,"Bullock, Alabama",5961,1290,1239,4626,60.8,62.4,61.5,62.4
01013,"Butler, Alabama",12920,7353,7305,5098,66.2,73.2,73.1,57.2
01015,"Calhoun, Alabama",89107,68106,66536,16519,79.9,82.6,82.4,72.3
01017,"Chambers, Alabama",25020,14842,14537,9351,75.5,77.7,79.1,71.3
01019,"Cherokee, Alabama",20113,18601,18336,950,78.5,78.0,77.8,85.4
01021,"Chilton, Alabama",32647,27605,26509,2706,74.8,75.6,75.8,68.6
01023,"Choctaw, Alabama",8625,5172,5130,3392,67.7,71.7,71.5,62.2
01025,"Clarke, Alabama",14771,9252,9214,5263,62.1,73.6,73.7,48.2
01027,"Clay, Alabama",9828,8217,8105,1480,75.1,75.4,77.0,72.9
01029,"Cleburne, Alabama",10356,9877,9774,200,70.2,71.2,71.3,54.2
01031,"Coffee, Alabama",42942,33540,31239,6429,84.1,86.6,87.1,75.5
01033,"Colbert, Alabama",41419,33987,33711,5550,76.2,79.1,79.3,63.3
01035,"Conecuh, Alabama",7677,4089,4078,3404,62.2,65.2,65.9,57.7
01037,"Coosa, Alabama",7643,5572,5522,2007,73.7,80.6,81.2,59.0
01039,"Covington, Alabama",28245,24336,23980,3338,77.4,78.6,78.7,69.0
01041,"Crenshaw, Alabama",9714,7594,7549,1604,71.1,78.0,77.9,50.2
01043,"Cullman, Alabama",65735,62554,60218,634,80.5,80.4,80.1,73.4
01045,"Dale, Alabama",38345,28608,27046,6881,80.0,82.4,82.0,70.8
01047,"Dallas, Alabama",28740,8608,8399,19676,74.5,81.2,80.8,71.7
01049,"DeKalb, Alabama",54885,47781,44910,695,78.0,79.5,79.4,79.2
01051,"Elmore, Alabama",65578,51592,50185,11653,85.5,87.6,87.7,76.0
01053,"Escambia, Alabama",22731,15668,15100,5351,66.6,71.2,70.9,53.3
01055,"Etowah, Alabama",81050,66341,65048,11696,79.9,81.7,82.1,73.9
01057,"Fayette, Alabama",12321,10737,10634,1195,76.2,77.5,77.5,63.9
