Geographic Area Name,Rate_Unemployment_Whole,Rate_Unemployment_White,Rate_Unemployment_Black,Rate_Unemployment_AIndA,Rate_Unemployment_Asian,Unemployment Parity
"Autauga, Alabama",0.037000000000000005,0.034,0.051,0.0,0.0,-0.016999999999999994
"Baldwin, Alabama",0.043,0.038,0.086,0.062,0.019,-0.047999999999999994
"Barbour, Alabama",0.092,0.047,0.14800000000000002,0.0,0.0,-0.10100000000000002
"Bibb, Alabama",0.073,0.068,0.10300000000000001,0.0,0.0,-0.035
"Blount, Alabama",0.034,0.033,0.017,0.0,0.14400000000000002,0.016
"Bullock, Alabama",0.039,0.0,0.053,,,-0.053
"Butler, Alabama",0.068,0.04,0.105,0.0,0.0,-0.065
"Calhoun, Alabama",0.081,0.063,0.127,0.278,0.037000000000000005,-0.064
"Chambers, Alabama",0.039,0.045,0.032,0.33899999999999997,0.0,0.012999999999999998
"Cherokee, Alabama",0.044000000000000004,0.042,0.08199999999999999,0.0,,-0.03999999999999999
"Chilton, Alabama",0.064,0.062,0.092,0.0,0.0,-0.03
"Choctaw, Alabama",0.079,0.038,0.142,1.0,0.0,-0.10399999999999998
"Clarke, Alabama",0.122,0.07400000000000001,0.19699999999999998,0.0,0.0,-0.12299999999999997
"Clay, Alabama",0.054000000000000006,0.053,0.064,,0.0,-0.011000000000000003
"Cleburne, Alabama",0.059000000000000004,0.054000000000000006,0.13699999999999998,,,-0.08299999999999998
"Coffee, Alabama",0.057,0.05,0.08199999999999999,0.09,0.009000000000000001,-0.03199999999999999
"Colbert, Alabama",0.044000000000000004,0.042,0.043,0.233,0.126,-0.000999999999999994
"Conecuh, Alabama",0.092,0.10300000000000001,0.084,0.0,0.0,0.019000000000000003
"Coosa, Alabama",0.028999999999999998,0.013000000000000001,0.063,0.0,,-0.05
"Covington, Alabama",0.084,0.07,0.18100000000000002,0.0,0.0,-0.11100000000000002
"Crenshaw, Alabama",0.034,0.038,0.031,0.0,0.0,0.006999999999999999
"Cullman, Alabama",0.051,0.048,0.073,0.0,0.0,-0.024999999999999994
"Dale, Alabama",0.08,0.057999999999999996,0.158,0.0,0.0,-0.1
"Dallas, Alabama",0.11,0.023,0.152,0.0,0.0,-0.129
"DeKalb, Alabama",0.04,0.035,0.043,0.027999999999999997,0.0,-0.007999999999999993
"Elmore, Alabama",0.046,0.037000000000000005,0.077,0.0,0.0,-0.039999999999999994
"Escambia, Alabama",0.11,0.076,0.17600000000000002,0.111,0.0,-0.10000000000000002
"Etowah, Alabama",0.055,0.053,0.063,0.099,0.111,-0.010000000000000002
"Fayette, Alabama",0.063,0.053,0.142,,0.205,-0.089
"Franklin, Alabama",0.048,0.046,0.063,0.0,0.818,-0.017
"Geneva, Alabama",0.054000000000000006,0.055,0.047,0.033,0.0,0.008
"Greene, Alabama",0.115,0.043,0.14,,,-0.09700000000000002
"Hale, Alabama",0.109,0.045,0.157,0.0,,-0.112
"Henry, Alabama",0.059000000000000004,0.048,0.094,0.0,0.0,-0.046
"Houston, Alabama",0.064,0.047,0.107,0.313,0.025,-0.06
"Jackson, Alabama",0.051,0.049,0.02,0.0,0.0,0.029
"Jefferson, Alabama",0.065,0.04,0.09699999999999999,0.192,0.019,-0.05699999999999999
"Lamar, Alabama",0.08800000000000001,0.086,0.08199999999999999,0.0,0.0,0.0040000000000000036
"Lauderdale, Alabama",0.047,0.043,0.071,0.0,0.138,-0.027999999999999997
"Lawrence, Alabama",0.053,0.048,0.09300000000000001,0.062,0.0,-0.04500000000000001
"Lee, Alabama",0.052000000000000005,0.040999999999999995,0.071,0.201,0.02,-0.03
"Limestone, Alabama",0.062,0.057999999999999996,0.067,0.207,0.0,-0.009000000000000008
"Lowndes, Alabama",0.099,0.016,0.139,0.0,,-0.12300000000000001
"Macon, Alabama",0.113,0.062,0.12300000000000001,0.0,0.462,-0.06100000000000001
"Madison, Alabama",0.05,0.039,0.078,0.015,0.035,-0.039
"Marengo, Alabama",0.08,0.073,0.085,0.0,,-0.01200000000000001
"Marion, Alabama",0.055,0.046,0.26899999999999996,0.027999999999999997,0.875,-0.22299999999999998
"Marshall, Alabama",0.043,0.040999999999999995,0.083,0.131,0.067,-0.04200000000000001
"Mobile, Alabama",0.057999999999999996,0.042,0.092,0.006999999999999999,0.035,-0.049999999999999996
