Geographic Area Name,HighSchool_WholeRate,Bachelor_WholeRate,HighSchool_WhiteRate,Bachelor_WhiteRate,HighSchool_NHWhiteRate,Bachelor_NHWhiteRate,HighSchool_BlackRate,Bachelor_BlackRate
"Autauga, Alabama",88.5,26.6,91.2,29.1,91.1,28.8,78.9,15.9
"Baldwin, Alabama",90.8,31.9,91.9,33.2,92.2,33.3,83.7,19.7
"Barbour, Alabama",73.2,11.6,78.6,17.5,79.1,17.7,69.1,5.0
"Bibb, Alabama",79.1,10.4,84.4,12.4,84.6,12.7,60.8,3.1
"Blount, Alabama",80.5,13.1,80.9,13.1,83.8,13.9,61.2,4.6
"Bullock, Alabama",74.7,12.1,92.7,26.1,92.4,26.9,69.6,7.5
"Butler, Alabama",85.0,16.1,89.6,20.8,90.1,21.0,79.4,10.0
"Calhoun, Alabama",84.4,18.5,85.5,19.7,85.7,19.7,83.8,13.6
"Chambers, Alabama",81.6,13.3,83.4,15.6,84.2,15.9,78.7,8.0
"Cherokee, Alabama",81.6,12.8,81.9,12.6,82.1,12.5,82.4,14.7
"Chilton, Alabama",81.8,12.7,82.5,13.8,83.3,14.2,83.6,4.7
"Choctaw, Alabama",81.4,11.9,82.1,13.9,82.2,14.0,80.3,9.1
"Clarke, Alabama",80.6,12.2,86.9,17.9,86.9,17.9,72.2,4.9
"Clay, Alabama",76.7,10.6,77.0,11.7,78.7,12.0,74.8,3.1
"Cleburne, Alabama",79.0,15.4,79.2,15.2,79.6,15.2,76.6,28.6
"Coffee, Alabama",85.9,22.8,87.6,24.8,88.6,24.9,81.3,15.7
"Colbert, Alabama",85.2,18.1,87.3,19.2,87.3,19.3,79.3,13.9
"Conecuh, Alabama",84.3,12.8,84.7,12.0,84.8,12.1,83.6,12.8
"Coosa, Alabama",80.0,12.8,84.3,14.3,84.1,14.4,70.7,9.7
"Covington, Alabama",83.4,15.3,84.1,16.5,84.0,16.4,78.8,6.5
"Crenshaw, Alabama",79.2,17.4,80.2,18.2,80.1,18.3,77.4,13.7
"Cullman, Alabama",81.6,13.9,81.5,13.8,82.1,13.9,83.5,11.0
"Dale, Alabama",86.1,18.1,86.8,19.0,87.2,19.0,86.1,15.2
"Dallas, Alabama",81.8,14.7,87.2,20.5,87.3,20.7,79.4,11.4
"DeKalb, Alabama",74.8,13.0,77.9,13.5,79.4,14.0,72.7,9.0
"Elmore, Alabama",86.6,25.1,88.2,27.2,88.8,27.6,82.2,16.3
"Escambia, Alabama",81.1,12.5,84.7,15.5,84.4,15.7,74.0,5.8
"Etowah, Alabama",84.6,17.8,85.4,18.6,86.0,18.7,82.3,13.0
"Fayette, Alabama",82.6,12.4,82.2,13.4,82.2,13.5,83.7,6.3
"Franklin, Alabama",77.2,14.0,81.0,15.3,82.5,15.6,89.7,14.4
"Geneva, Alabama",80.3,12.5,81.8,13.0,82.5,13.3,69.6,6.6
"Greene, Alabama",79.2,10.1,89.3,22.0,89.3,21.8,76.4,6.9
"Hale, Alabama",84.0,14.2,88.2,20.7,88.2,20.7,80.8,9.4
"Henry, Alabama",79.4,17.1,84.1,19.7,84.2,19.5,65.6,8.8
"Houston, Alabama",86.0,21.7,89.2,25.3,89.9,25.5,77.1,11.2
"Jackson, Alabama",83.2,14.0,83.1,14.1,83.0,14.2,85.1,11.7
"Jefferson, Alabama",90.1,33.4,92.5,43.0,93.2,43.4,87.9,20.3
"Lamar, Alabama",82.3,11.9,83.3,12.0,83.2,11.9,72.1,12.7
"Lauderdale, Alabama",87.4,23.5,87.7,23.6,88.1,23.8,84.3,20.8
"Lawrence, Alabama",79.3,12.6,78.1,11.4,78.4,11.3,78.4,7.2
"Lee, Alabama",90.9,35.3,92.6,39.3,92.6,39.4,86.0,18.8
"Limestone, Alabama",84.7,25.7,85.9,26.1,87.2,26.4,78.0,21.5
"Lowndes, Alabama",78.3,14.7,94.0,29.8,94.0,29.8,72.1,8.6
"Macon, Alabama",81.8,20.4,88.6,22.7,88.6,22.1,80.2,19.8
"Madison, Alabama",91.7,42.8,93.3,45.4,94.0,45.9,88.3,33.0
"Marengo, Alabama",83.8,16.1,89.3,18.9,89.4,18.9,78.6,13.3
"Marion, Alabama",79.6,12.8,79.9,13.3,80.0,13.4,71.8,2.4
"Marshall, Alabama",81.6,19.4,82.0,19.7,85.4,20.7,71.1,9.2
"Mobile, Alabama",86.5,23.2,87.8,26.5,87.9,26.5,85.5,16.5
"Monroe, Alabama",85.6,13.5,88.8,17.0,88.7,16.7,80.8,8.5
"Montgomery, Alabama",86.7,33.4,92.9,45.1,94.0,46.1,82.5,23.6
"Morgan, Alabama",84.1,22.4,86.4,24.1,87.8,24.8,78.4,11.0
"Perry, Alabama",82.8,22.8,83.7,31.4,83.7,31.4,83.2,19.1
"Pickens, Alabama",81.5,14.1,87.7,18.8,88.8,19.0,72.3,7.5
"Pike, Alabama",85.0,23.7,87.4,29.3,87.7,29.7,80.1,13.0
"Randolph, Alabama",79.6,16.5,81.8,18.7,82.4,18.5,71.7,6.7
"Russell, Alabama",83.8,17.8,86.4,18.3,87.3,18.2,81.1,16.9
"St. Clair, Alabama",84.6,16.1,85.1,16.5,85.3,16.5,79.4,10.6
"Shelby, Alabama",92.7,42.9,94.2,44.3,94.6,44.5,91.3,36.3
"Sumter, Alabama",86.7,21.6,93.5,37.5,93.3,37.2,84.2,15.8
"Talladega, Alabama",80.3,15.0,82.5,17.5,82.5,17.3,76.9,9.4
"Tallapoosa, Alabama",80.7,18.4,84.5,21.8,84.5,21.9,70.5,8.4
"Tuscaloosa, Alabama",88.3,30.7,90.2,35.7,90.7,36.4,85.4,19.5
"Walker, Alabama",81.8,11.3,82.1,11.7,82.5,11.7,83.3,4.3
"Washington, Alabama",82.6,12.7,81.1,12.4,80.9,12.6,91.4,15.2
"Wilcox, Alabama",76.5,12.5,84.3,21.3,84.1,21.8,73.5,8.5
"Winston, Alabama",78.8,12.8,79.5,13.1,79.6,13.2,72.5,2.9
"Aleutians East Borough, Alaska",85.5,11.5,94.6,31.6,96.4,31.3,100.0,5.7
"Aleutians West Census Area, Alaska",89.5,17.0,95.1,22.9,94.6,24.0,91.1,10.5
"Anchorage Municipality, Alaska",93.9,36.1,96.5,43.2,97.0,44.3,93.6,19.6
"Bethel Census Area, Alaska",80.9,11.9,94.7,50.2,97.2,53.8,91.3,31.5
"Bristol Bay Borough, Alaska",94.0,22.5,99.4,34.7,99.4,33.2,100.0,100.0
"Denali Borough, Alaska",98.5,41.1,98.6,42.5,98.6,42.5,100.0,0.0
"Dillingham Census Area, Alaska",86.3,22.1,99.1,68.9,99.5,70.2,100.0,81.2
"Fairbanks North Star Borough, Alaska",94.5,31.4,96.0,33.4,96.0,34.5,94.0,23.8
"Haines Borough, Alaska",97.5,33.8,98.2,38.0,98.3,38.8,,
