Geographic Area Name,TCI
"New York, New York",52.6
"Kings, New York",34.5
"Bronx, New York",29.5
"San Francisco, California",31.7
"Queens, New York",23.8
"District of Columbia, District Of Columbia",23.3
"Suffolk, Massachusetts",23.7
"Hudson, New Jersey",19.1
"Philadelphia, Pennsylvania",20.2
"Arlington, Virginia",15.9
"Richmond, New York",12.3
"Alexandria city, Virginia",11.8
"Falls Church city, Virginia",12.1
"Multnomah, Oregon",12.3
"Baltimore city, Maryland",17.0
"St. Louis city, Missouri",8.4
"Denver, Colorado",10.3
"Richmond city, Virginia",9.0
"Essex, New Jersey",10.0
"Orleans Parish, Louisiana",9.1
"Cook, Illinois",12.5
"Westchester, New York",8.5
"Alameda, California",8.9
"Cuyahoga, Ohio",5.1
"Montgomery, Maryland",8.6
"Charlottesville city, Virginia",6.8
"Salt Lake, Utah",6.2
"Milwaukee, Wisconsin",5.9
"Los Angeles, California",8.0
"Delaware, Pennsylvania",8.5
"Santa Clara, California",6.7
"Fairfax city, Virginia",4.7
"Washington, Oregon",5.3
"Miami-Dade, Florida",7.1
"Honolulu, Hawaii",5.9
"Bergen, New Jersey",5.9
"Union, New Jersey",6.0
"San Mateo, California",6.5
"Norfolk city, Virginia",5.3
"King, Washington",6.0
"Ramsey, Minnesota",6.8
"Passaic, New Jersey",5.6
"Prince George's, Maryland",6.4
"Nassau, New York",5.5
"Arapahoe, Colorado",5.7
"DeKalb, Georgia",5.0
"Bexar, Texas",3.4
"Fairfax, Virginia",5.1
"Fulton, Georgia",6.4
"Hennepin, Minnesota",6.3
"Champaign, Illinois",5.3
"Middlesex, Massachusetts",6.8
"Albany, New York",4.3
"Harrisonburg city, Virginia",3.1
"San Diego, California",5.1
"Dallas, Texas",5.3
"Weber, Utah",3.0
"Camden, New Jersey",4.6
"Allegheny, Pennsylvania",5.2
"Boulder, Colorado",3.8
"St. Louis, Missouri",3.1
"St. Clair, Illinois",3.8
"Rock Island, Illinois",3.6
"Broward, Florida",3.5
"Contra Costa, California",4.0
"Providence, Rhode Island",3.9
"Norfolk, Massachusetts",6.8
"Clackamas, Oregon",3.4
"Davis, Utah",2.5
"Santa Cruz, California",4.1
"Washtenaw, Michigan",3.1
"Sacramento, California",4.1
"Marion, Indiana",2.5
"Hampton city, Virginia",2.6
"Clark, Nevada",3.2
"Marin, California",3.6
"Williamsburg city, Virginia",3.2
"Roanoke city, Virginia",2.9
"Schenectady, New York",3.7
"Newport News city, Virginia",2.8
"Pitkin, Colorado",0.0
"Marion, Oregon",3.4
"Hartford, Connecticut",2.8
"New Haven, Connecticut",3.1
"Pinellas, Florida",2.4
"Yolo, California",3.6
"Mercer, New Jersey",3.9
"Adams, Colorado",3.2
"Montgomery, Pennsylvania",4.0
"Hamilton, Ohio",3.5
"Fairfield, Connecticut",4.0
"Jefferson, Colorado",3.5
"Bernalillo, New Mexico",2.9
"Maricopa, Arizona",3.1
"Hampden, Massachusetts",2.5
"San Bernardino, California",3.1
"Franklin, Ohio",3.1
"Mecklenburg, North Carolina",2.7
"New Castle, Delaware",2.5
"Montgomery, Ohio",2.9
"Baltimore, Maryland",5.0
"Fredericksburg city, Virginia",3.0
"Radford city, Virginia",2.8
"Ingham, Michigan",2.8
"Nueces, Texas",2.8
"Douglas, Kansas",2.5
"Santa Barbara, California",2.5
"Erie, New York",3.8
"Jefferson, Kentucky",2.9
"Snohomish, Washington",2.5
"Orange, California",2.7
"Alachua, Florida",3.2
"Tippecanoe, Indiana",3.3
