GEOID,Rate_poor_fair_health,provcount_b,provcount_c,injury_deaths_per_100000
01001,0.228,10,9,73.3
01003,0.127,20,13,74.5
01005,0.23399999999999999,13,9,56.1
01007,0.179,7,6,80.8
01009,0.242,12,11,91.9
01011,0.23,5,5,85.4
01013,0.19899999999999998,11,9,82.9
01015,0.22699999999999998,16,10,77.9
01017,0.385,9,9,78.3
01019,0.242,9,10,82.6
01021,0.205,12,8,83.9
01023,0.316,9,8,99.7
01025,0.218,13,9,76.0
01027,0.28600000000000003,7,6,66.3
01029,0.2,7,6,82.0
01031,0.184,10,9,60.1
01033,0.259,12,9,70.9
01035,0.183,12,8,101.6
01037,0.258,11,10,99.8
01039,0.25,14,10,70.9
01041,0.203,9,9,81.6
01043,0.214,15,11,74.6
01045,0.212,10,7,61.1
01047,0.252,12,8,80.7
01049,0.204,11,8,88.0
01051,0.16699999999999998,17,13,71.1
01053,0.281,15,9,103.4
01055,0.22699999999999998,13,10,73.8
01057,0.318,9,7,113.6
01059,0.24,10,8,114.3
01061,0.28300000000000003,12,9,83.0
01063,0.271,6,6,72.7
01065,0.21100000000000002,9,8,78.6
01067,0.184,8,8,83.4
01069,0.207,17,11,64.5
01071,0.28,9,8,89.3
01073,0.17800000000000002,25,15,78.1
01075,0.285,8,7,88.1
01077,0.192,15,11,70.0
01079,0.235,7,7,111.2
01081,0.175,15,11,46.3
01083,0.207,15,10,65.1
01085,0.358,9,8,90.1
01087,0.247,9,8,93.4
01089,0.141,21,13,56.5
01091,0.264,13,9,66.0
01093,0.237,10,7,106.3
01095,0.212,16,13,72.4
01097,0.226,17,11,80.3
01099,0.257,8,6,81.7
01101,0.21,21,11,56.5
01103,0.149,18,12,77.0
01105,0.272,7,4,81.8
01107,0.26,10,9,83.4
01109,0.23800000000000002,12,9,73.9
01111,0.223,11,7,92.0
01113,0.213,11,7,89.2
01115,0.193,14,12,89.6
01117,0.12300000000000001,19,13,62.8
01119,0.27699999999999997,7,6,65.9
01121,0.299,16,10,75.9
01123,0.265,14,10,71.2
01125,0.17600000000000002,16,12,68.5
01127,0.35,10,9,142.6
01129,0.21100000000000002,8,6,90.8
01131,0.305,8,8,105.8
01133,0.21100000000000002,9,9,114.5
02013,0.17,4,2,
02016,0.122,5,4,47.2
02020,0.125,12,6,68.7
02050,0.21100000000000002,4,3,157.3
02060,0.16699999999999998,4,2,198.6
02068,0.065,6,3,
02070,0.121,5,4,192.6
02090,0.11,9,5,60.6
02100,0.11800000000000001,4,2,80.0
02105,,4,4,
02110,0.115,7,4,65.2
02122,0.13699999999999998,9,8,97.1
02130,0.14400000000000002,4,3,83.0
02150,0.132,5,4,62.8
02164,,5,4,159.1
02170,0.133,8,5,79.9
02180,0.16399999999999998,4,3,194.5
02185,0.2,4,3,92.4
02188,0.188,4,3,168.4
02195,,4,4,
02198,,4,3,
02220,0.11,4,3,103.2
02230,,4,2,
02240,0.154,5,4,59.7
02261,0.172,6,5,72.8
02270,0.25,3,2,219.6
02275,0.132,4,3,
02282,,3,1,
02290,0.19399999999999998,8,7,245.6
04001,0.203,10,7,170.4
04003,0.187,19,11,77.3
04005,0.128,22,14,94.3
04007,0.214,17,10,106.4
04009,0.19,11,7,74.2
04011,0.17600000000000002,8,6,92.9
04012,0.22,12,8,112.5
04013,0.147,50,31,66.3
04015,0.203,18,13,104.2
04017,0.175,16,10,132.6
04019,0.14400000000000002,28,19,73.8
04021,0.17,29,21,63.7
04023,0.17800000000000002,14,8,48.8
04025,0.177,27,19,104.2
04027,0.226,20,11,51.9
05001,0.287,7,5,93.5
05003,0.252,8,7,100.8
05005,0.175,7,7,98.9
05007,0.125,18,10,60.0
05009,0.168,12,9,79.4
05011,0.18600000000000003,8,6,73.0
05013,0.217,5,4,82.2
05015,0.17800000000000002,12,11,110.6
05017,0.249,8,7,101.9
05019,0.21899999999999997,11,9,86.8
05021,0.284,9,9,80.1
05023,0.24100000000000002,13,13,95.2
05025,0.215,7,7,69.1
05027,0.24,11,7,84.7
05029,0.22699999999999998,9,10,116.9
05031,0.17600000000000002,12,10,71.6
05033,0.2,12,10,75.9
05035,0.20800000000000002,11,8,62.0
05037,0.21,12,10,89.4
05039,0.233,6,4,78.7
05041,0.209,6,6,97.4
05043,0.193,11,8,69.0
05045,0.17300000000000001,17,14,61.0
05047,0.257,9,7,99.3
05049,0.235,7,9,91.1
05051,0.187,12,9,114.4
05053,0.242,12,10,86.2
05055,0.14300000000000002,11,12,89.1
05057,0.3,11,9,87.8
05059,0.28,12,10,92.9
05061,0.18899999999999997,11,9,81.2
05063,0.21899999999999997,10,11,91.4
05065,0.285,6,7,104.5
05067,0.292,11,10,98.5
05069,0.177,12,10,78.8
05071,0.253,6,5,86.9
05073,0.122,7,6,136.6
05075,0.249,12,10,83.3
05077,0.304,8,8,111.1
05079,0.275,6,7,60.9
05081,0.171,9,7,91.7
05083,0.20199999999999999,7,6,94.9
05085,0.16899999999999998,13,11,73.0
05087,0.21600000000000003,7,8,93.1
05089,0.142,8,8,89.8
05091,0.248,10,8,69.5
05093,0.257,10,8,83.7
05095,0.275,7,7,129.9
05097,0.2,7,7,103.5
05099,0.36,7,6,79.9
05101,0.188,7,8,89.3
05103,0.231,11,8,85.6
05105,0.315,7,8,74.9
05107,0.228,8,8,104.3
05109,0.22,7,7,69.2
05111,0.25,9,8,100.3
05113,0.235,12,10,106.1
05115,0.182,12,8,74.5
05117,0.16899999999999998,6,5,92.3
05119,0.152,22,13,74.0
05121,0.247,7,7,96.7
05123,0.183,9,8,80.4
05125,0.174,14,10,59.5
05127,0.183,8,8,82.4
05129,0.205,7,8,95.8
05131,0.187,15,10,64.1
05133,0.266,7,6,73.0
05135,0.34299999999999997,7,8,93.7
05137,0.254,9,8,86.6
05139,0.23,11,8,91.3
05141,0.231,9,10,98.8
05143,0.171,13,10,49.0
05145,0.171,16,14,73.3
05147,0.27399999999999997,7,5,96.3
05149,0.225,9,8,90.7
06001,0.145,34,14,42.4
06003,,10,6,
06005,0.175,12,7,93.4
06007,0.17300000000000001,13,8,90.9
06009,0.214,12,9,92.3
06011,,10,8,55.3
06013,0.138,22,13,47.5
06015,0.159,8,5,96.7
06017,0.09699999999999999,20,14,67.4
06019,0.23399999999999999,25,11,53.3
06021,0.28300000000000003,10,9,62.0
06023,0.12,13,8,102.7
06025,0.29,16,9,41.8
06027,,9,6,85.5
06029,0.237,23,13,61.1
06031,0.26899999999999996,10,5,46.7
06033,0.204,11,6,128.0
06035,0.182,12,9,84.3
