GEOID,Segregation index,Average Traffic Volume per Meter of Major Roadways,% Vaccinated,% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (White),Violent Crime Rate
02000,51.512262337,217.59616138,35.0,,,,720.26327144
02013,,0.0,,,,,
02016,,0.0,,,,,294.61756374
02020,38.379521996,462.57206722,38.0,44.0,26.0,39.0,1006.6571953
02050,13.872255489,4.7274481249,10.0,,,,
02060,,0.0,32.0,,,34.0,0.0
02068,,5.3996989275,,,,,
02070,,0.0,26.0,,,28.0,
02090,43.375665949,107.78021727,35.0,38.0,33.0,35.0,
02100,,9.0782676628,27.0,,,24.0,155.82391897
02105,,0.207254105,,,,,
02110,25.887007787,95.182467151,43.0,44.0,29.0,44.0,714.15574964
02122,64.05262425,42.994245793,,,,,
02130,23.915654238,0.0,38.0,46.0,,38.0,358.29234226
02150,,0.0,42.0,36.0,,44.0,
02158,,0.0,20.0,,,,
02164,,0.0,,,,,
02170,49.173226103,49.420106321,32.0,31.0,16.0,32.0,
02180,,10.601262873,4.0,,,9.0,
02185,,10.141895162,,,,,809.23663729
02188,,0.0,,,,,
02195,,38.247565349,,,,,411.13219481
02198,,0.0,,,,,
02220,,0.0,31.0,35.0,,31.0,100.63174372
02230,,59.934883632,24.0,,,25.0,372.09302326
02240,,5.1927815832,21.0,,,19.0,
02261,,8.6458404051,,,,,315.58504612
02275,,0.0,,,,,0.0
02282,,0.0,,,,,
02290,,1.91767388,31.0,,,32.0,
04000,45.659287425,832.39381602,44.0,,,,435.48955521
04001,64.073611622,14.330120694,38.0,,,26.0,108.96799672
04003,52.181176663,36.781501597,33.0,34.0,24.0,34.0,333.03112998
04005,50.178051526,106.37638816,39.0,37.0,29.0,43.0,357.25313629
04007,64.097367665,120.09815089,38.0,38.0,42.0,39.0,574.25517398
04009,61.19238303,13.150366706,38.0,,,40.0,108.85999395
04011,31.646455224,3.939573537,29.0,,,27.0,40.783034258
04012,88.732394366,111.60841127,27.0,,21.0,28.0,264.0
04013,41.705638037,885.04615758,47.0,48.0,32.0,48.0,408.91278239
04015,54.021374019,64.466765051,38.0,36.0,25.0,38.0,221.32486208
04017,59.470559783,65.467596555,39.0,14.0,18.0,38.0,280.6343814
04019,41.525753609,1864.7979149,47.0,47.0,29.0,48.0,470.11635898
04021,40.877784809,63.831505402,42.0,35.0,34.0,44.0,220.88403588
04023,68.300728223,167.70962414,34.0,27.0,,38.0,140.32005827
04025,47.970303872,63.225913506,42.0,39.0,29.0,43.0,299.58178042
04027,52.641587681,70.884199271,39.0,40.0,29.0,45.0,330.44589467
05000,64.346657708,126.89836976,45.0,,,,515.63349918
05001,44.847750109,39.575871715,41.0,,20.0,44.0,472.89628709
05003,22.30239472,26.062480708,44.0,,30.0,46.0,320.91965034
05005,,77.132821861,47.0,50.0,,47.0,182.38793547
05007,42.898308806,108.4527881,51.0,44.0,31.0,51.0,274.52575313
05009,87.002985574,69.004290575,46.0,47.0,,46.0,551.20743862
05011,10.467670546,5.3337241966,50.0,,39.0,52.0,261.40255994
05013,13.277599819,32.414230303,35.0,,20.0,37.0,211.17296986
05015,58.393091218,48.577650616,42.0,64.0,,43.0,336.59124863
05017,49.394950579,46.91200171,26.0,,15.0,33.0,366.78138018
05019,33.975234067,127.76573981,49.0,,38.0,51.0,329.47836278
05021,,53.995227977,31.0,,,,221.23893805
05023,73.779110363,8.2803817401,44.0,,,,367.18504555
05025,20.028240725,8.0250150691,44.0,,31.0,45.0,95.277794319
05027,31.093628608,26.943437034,46.0,,35.0,49.0,316.84489192
05029,37.933761475,63.108707046,27.0,,28.0,27.0,210.99547189
05031,45.758172333,125.16399641,49.0,50.0,29.0,50.0,431.20608197
05033,59.346755076,161.19399498,44.0,31.0,41.0,44.0,380.19415898
05035,50.28623926,248.02981373,39.0,59.0,23.0,48.0,1274.2625512
05037,51.668594185,103.95854688,40.0,,22.0,43.0,664.31748599
05039,28.514781217,85.39780124,32.0,,31.0,33.0,597.36380754
05041,28.959411364,70.739118581,38.0,,23.0,46.0,730.14190661
05043,23.258380697,69.636845371,43.0,,32.0,45.0,361.86573717
05045,35.12845199,125.72258627,48.0,34.0,39.0,48.0,361.23582836
05047,20.945467422,37.770868135,48.0,,,48.0,427.00227547
