GEOID,sdi_score
01001,22
01003,15
01005,88
01007,31
01009,36
01011,90
01013,81
01015,65
01017,83
01019,42
01021,53
01023,68
01025,73
01027,52
01029,45
01031,47
01033,51
01035,74
01037,55
01039,56
01041,54
01043,38
01045,61
01047,99
01049,53
01051,26
01053,76
01055,58
01057,62
01059,77
01061,64
01063,91
01065,83
01067,36
01069,59
01071,49
01073,64
01075,57
01077,42
01079,49
01081,59
01083,29
01085,87
01087,90
01089,26
01091,75
01093,55
01095,62
01097,71
01099,73
01101,83
01103,54
01105,95
01107,77
01109,89
01111,68
01113,89
01115,25
01117,3
01119,86
01121,77
01123,70
01125,58
01127,59
01129,40
01131,78
01133,54
02013,85
02016,75
02020,35
02050,98
02060,54
02068,8
02070,88
02090,32
02100,10
02105,44
02110,29
02122,22
02130,47
02150,52
02158,91
02164,78
02170,19
02180,99
02185,76
02188,100
02195,27
02198,63
02220,32
02230,31
02240,36
02261,42
02275,42
02282,55
02290,90
04001,90
04003,52
04005,75
04007,68
04009,69
04011,76
04012,59
04013,65
04015,62
04017,86
04019,75
04021,52
04023,86
04025,31
04027,78
05001,58
05003,55
05005,21
05007,22
05009,45
05011,80
05013,43
05015,38
05017,90
05019,63
05021,67
05023,28
05025,36
05027,75
05029,60
05031,73
05033,45
05035,97
05037,67
05039,49
05041,97
05043,75
05045,33
05047,55
05049,39
05051,61
05053,14
05055,49
05057,80
05059,50
05061,85
05063,55
05065,49
05067,80
05069,83
05071,52
05073,68
05075,54
05077,90
05079,86
05081,52
05083,56
05085,24
05087,42
05089,38
05091,72
05093,92
05095,95
05097,29
05099,56
05101,33
05103,73
05105,31
05107,100
05109,51
05111,87
05113,55
05115,55
05117,56
05119,56
05121,51
05123,97
05125,13
05127,66
05129,36
05131,71
05133,68
05135,49
05137,45
05139,71
05141,54
05143,72
05145,50
05147,92
05149,67
06001,62
06003,39
06005,20
06007,75
06009,14
06011,76
06013,37
06015,90
06017,14
06019,100
06021,87
06023,78
06025,99
06027,46
06029,98
06031,99
06033,87
06035,55
06037,92
06039,85
06041,17
06043,22
06045,78
06047,100
06049,35
06051,39
06053,85
06055,47
06057,13
06059,53
06061,13
06063,23
06065,71
06067,81
06069,59
06071,89
06073,63
06075,58
06077,91
06079,36
06081,33
06083,76
06085,41
06087,55
06089,57
06091,6
06093,66
06095,61
06097,50
06099,95
06101,83
06103,74
06105,42
06107,98
06109,34
06111,49
06113,78
06115,92
08001,59
08003,78
08005,34
08007,16
08009,30
08011,56
08013,20
08014,4
08015,9
08017,7
08019,1
08021,45
08023,62
