GEOID,urban,FluVax_BlackRate,FluVax_NHWhiteRate,FluVax_WholeRate
01001,1,27.0,44.0,42
01003,0,27.0,48.0,47
01005,0,29.0,38.0,35
01007,1,19.0,33.0,31
01009,1,25.0,39.0,39
01011,0,20.0,42.0,28
01013,0,21.0,31.0,27
01015,1,24.0,39.0,37
01017,0,30.0,46.0,41
01019,0,29.0,48.0,47
01021,1,32.0,41.0,41
01023,0,24.0,37.0,32
01025,0,18.0,31.0,26
01027,0,24.0,42.0,40
01029,0,40.0,38.0,38
01031,0,28.0,37.0,35
01033,1,38.0,48.0,46
01035,0,30.0,46.0,39
01037,0,29.0,43.0,39
01039,0,24.0,40.0,38
01041,0,27.0,35.0,34
01043,0,24.0,43.0,43
01045,0,31.0,42.0,40
01047,0,26.0,47.0,35
01049,0,30.0,41.0,40
01051,1,25.0,40.0,38
01053,0,25.0,38.0,35
01055,1,22.0,38.0,36
01057,0,36.0,48.0,46
01059,0,24.0,38.0,37
01061,1,32.0,43.0,42
01063,1,19.0,38.0,23
01065,1,21.0,42.0,29
01067,1,26.0,40.0,37
01069,1,28.0,47.0,43
01071,0,32.0,43.0,42
01073,1,31.0,52.0,45
01075,0,27.0,42.0,41
01077,1,34.0,52.0,51
01079,1,30.0,37.0,36
01081,1,31.0,48.0,43
01083,1,35.0,49.0,48
01085,1,27.0,44.0,34
01087,0,29.0,40.0,31
01089,1,31.0,49.0,46
01091,0,24.0,45.0,35
01093,0,26.0,37.0,36
01095,0,40.0,49.0,48
01097,1,29.0,45.0,41
01099,0,23.0,43.0,36
01101,1,27.0,44.0,37
01103,1,27.0,47.0,45
01105,0,21.0,33.0,25
01107,0,35.0,51.0,45
01109,0,22.0,36.0,32
01111,0,20.0,30.0,28
01113,1,29.0,43.0,38
01115,1,31.0,43.0,43
01117,1,35.0,48.0,46
01119,0,27.0,40.0,31
01121,0,23.0,40.0,36
01123,0,31.0,48.0,44
01125,1,27.0,48.0,42
01127,1,33.0,41.0,41
01129,0,19.0,26.0,24
01131,0,15.0,32.0,20
01133,0,,38.0,38
02020,1,26.0,42.0,40
02050,0,,16.0,4
02060,0,,39.0,35
02070,0,,28.0,17
02090,1,31.0,38.0,37
02100,0,,44.0,44
02110,0,34.0,52.0,50
02122,0,,25.0,25
02130,0,27.0,48.0,45
02150,0,,46.0,42
02170,1,18.0,34.0,33
02180,0,,11.0,5
02220,0,,44.0,43
02230,0,,25.0,26
02240,0,,28.0,29
02270,0,,32.0,4
02290,0,,36.0,32
04001,0,18.0,30.0,40
04003,0,23.0,35.0,33
04005,1,24.0,45.0,39
04007,0,33.0,42.0,39
04009,0,0.0,32.0,29
04011,0,,23.0,27
04012,0,25.0,33.0,31
04013,1,29.0,52.0,50
04015,1,25.0,41.0,40
04017,0,20.0,37.0,36
04019,1,28.0,53.0,50
04021,1,30.0,47.0,44
04023,0,31.0,40.0,35
04025,1,29.0,45.0,45
04027,1,28.0,47.0,40
04990,0,,44.0,47
05001,0,25.0,48.0,44
05003,0,31.0,46.0,43
05005,0,,50.0,50
05007,1,28.0,55.0,54
05009,0,,44.0,44
05011,0,37.0,51.0,47
05013,0,20.0,35.0,33
05015,0,,46.0,45
05017,0,18.0,36.0,29
05019,0,37.0,48.0,47
05021,0,,31.0,31
05023,0,,37.0,37
05025,1,21.0,45.0,43
05027,0,31.0,52.0,46
05029,0,24.0,32.0,31
05031,1,26.0,54.0,52
05033,1,36.0,47.0,46
05035,1,20.0,50.0,38
05037,0,25.0,47.0,44
05039,0,34.0,44.0,41
05041,0,22.0,49.0,40
05043,0,28.0,47.0,43
05045,1,34.0,50.0,49
05047,1,45.0,49.0,48
05049,0,,41.0,41
05051,1,35.0,58.0,57
05053,1,42.0,55.0,55
05055,0,21.0,46.0,46
05057,0,24.0,42.0,37
05059,0,42.0,53.0,52
05061,0,28.0,48.0,45
05063,0,44.0,51.0,51
05065,0,,38.0,38
05067,0,40.0,53.0,51
05069,1,30.0,48.0,40
05071,0,26.0,48.0,46
05073,0,21.0,37.0,32
05075,0,53.0,27.0,27
05077,0,26.0,42.0,35
05079,1,24.0,43.0,40
05081,0,25.0,50.0,47
05083,0,17.0,32.0,32
05085,1,32.0,51.0,50
05087,1,,41.0,41
05089,0,,37.0,37
05091,1,28.0,45.0,42
05093,0,35.0,48.0,44
05095,0,18.0,27.0,25
05097,0,,33.0,33
05099,0,23.0,40.0,36
05101,0,,26.0,26
05103,0,36.0,50.0,46
05105,1,54.0,45.0,45
05107,0,21.0,33.0,27
05109,0,17.0,32.0,31
05111,1,19.0,47.0,46
05113,0,,35.0,35
05115,0,30.0,48.0,47
05117,0,15.0,36.0,34
05119,1,34.0,57.0,52
05121,0,23.0,45.0,45
05123,0,29.0,49.0,41
05125,1,38.0,56.0,55
05127,0,,37.0,37
05129,0,,20.0,20
05131,1,28.0,51.0,49
05133,0,34.0,53.0,51
05135,0,,36.0,36
05137,0,,49.0,49
05139,0,24.0,48.0,42
05141,0,55.0,37.0,37
05143,1,31.0,52.0,51
05145,0,31.0,51.0,50
05147,0,24.0,28.0,27
05149,0,26.0,38.0,37
06001,1,28.0,52.0,47
06003,0,,45.0,42
06005,0,38.0,48.0,48
06007,1,27.0,40.0,40
06009,0,37.0,45.0,44
06011,0,33.0,46.0,46
06013,1,27.0,54.0,48
06015,0,0.0,37.0,36
06017,1,39.0,49.0,48
06019,1,30.0,49.0,45
06021,0,34.0,37.0,36
06023,0,31.0,41.0,40
06025,1,23.0,39.0,32
06027,0,0.0,40.0,37
06029,1,25.0,41.0,38
06031,1,21.0,41.0,36
06033,0,19.0,29.0,29
06035,0,21.0,27.0,26
06037,1,21.0,43.0,39
06039,1,28.0,40.0,36
06041,1,28.0,52.0,51
06043,0,,33.0,33
06045,0,17.0,30.0,30
06047,1,32.0,45.0,41
06049,0,,17.0,17
06051,0,,43.0,41
06053,1,33.0,49.0,46
06055,1,25.0,46.0,42
06057,0,37.0,46.0,46
06059,1,28.0,49.0,50
06061,1,33.0,51.0,50
06063,0,32.0,25.0,25
06065,1,24.0,45.0,40
06067,1,30.0,45.0,43
06069,1,27.0,54.0,48
06071,1,19.0,33.0,29
06073,1,26.0,48.0,43
06075,1,29.0,47.0,44
06077,1,26.0,49.0,44
06079,1,32.0,53.0,52
06081,1,35.0,56.0,52
06083,1,34.0,51.0,49
06085,1,29.0,55.0,51
06087,1,34.0,53.0,52
06089,1,28.0,41.0,41
06091,0,,20.0,21
06093,0,21.0,29.0,29
06095,1,26.0,42.0,38
06097,1,26.0,48.0,46
06099,1,29.0,45.0,43
06101,1,34.0,50.0,49
06103,0,18.0,34.0,33
06105,0,24.0,37.0,37
06107,1,32.0,48.0,43
06109,0,21.0,44.0,43
06111,1,32.0,52.0,49
06113,1,32.0,53.0,50
06115,1,27.0,41.0,41
06990,0,,28.0,29
08001,1,35.0,49.0,46
08003,0,,41.0,39
08005,1,34.0,56.0,53
08007,0,,35.0,34
08009,0,,23.0,23
08011,0,,33.0,33
08013,1,41.0,55.0,54
08014,1,45.0,61.0,60
08015,0,,48.0,48
08017,0,,37.0,36
08019,1,,46.0,46
08021,0,,31.0,28
08023,0,,27.0,28
08025,0,,32.0,31
08027,0,,44.0,43
08029,0,,44.0,44
08031,1,33.0,55.0,49
08033,0,,31.0,32
08035,1,39.0,57.0,56
08037,0,,60.0,57
08039,1,32.0,41.0,41
08041,1,28.0,46.0,44
08043,0,24.0,41.0,41
08045,0,40.0,46.0,45
08047,1,,42.0,41
08049,0,,42.0,41
08051,0,,46.0,45
08053,0,,21.0,20
08055,0,33.0,34.0,34
08057,0,,24.0,24
08059,1,35.0,53.0,52
08061,0,,32.0,31
08063,0,,38.0,38
08065,0,,44.0,44
08067,0,21.0,49.0,48
08069,1,40.0,57.0,56
08071,0,,28.0,27
08073,0,,43.0,42
08075,0,50.0,42.0,41
08077,1,25.0,51.0,50
08079,0,,58.0,57
08081,0,,34.0,34
08083,0,,41.0,41
08085,0,37.0,48.0,47
08087,0,29.0,40.0,38
08089,0,18.0,41.0,38
08091,0,,49.0,49
08093,1,,44.0,43
08095,0,,59.0,58
08097,0,,58.0,57
08099,0,,34.0,33
08101,1,38.0,50.0,49
08103,0,,27.0,27
08105,0,,32.0,29
08107,0,,54.0,53
08109,0,,30.0,29
08111,0,,57.0,59
08113,0,,44.0,44
08115,0,,20.0,20
08117,0,,60.0,60
08119,1,17.0,43.0,42
08121,0,,19.0,19
08123,1,32.0,53.0,50
08125,0,,31.0,31
08990,0,,54.0,44
09001,1,36.0,59.0,55
09003,1,38.0,59.0,56
09005,0,45.0,57.0,56
09007,1,37.0,60.0,59
09009,1,39.0,58.0,55
09011,1,36.0,55.0,53
09013,1,35.0,59.0,58
09015,0,39.0,54.0,54
10001,1,42.0,57.0,53
10003,1,40.0,61.0,56
10005,0,41.0,59.0,57
11001,1,32.0,55.0,40
12001,1,34.0,53.0,50
12003,1,21.0,40.0,38
12005,1,27.0,41.0,40
12007,0,26.0,36.0,35
12009,1,25.0,42.0,41
12011,1,20.0,45.0,39
12013,0,24.0,25.0,25
12015,1,33.0,56.0,55
12017,0,34.0,47.0,47
12019,1,27.0,42.0,40
12021,1,29.0,62.0,59
12023,0,28.0,42.0,41
12027,0,23.0,46.0,43
12029,0,30.0,33.0,33
12031,1,33.0,48.0,44
12033,1,27.0,41.0,38
12035,1,36.0,49.0,47
12037,0,32.0,34.0,34
12039,1,22.0,40.0,31
12041,1,20.0,38.0,38
12043,0,26.0,46.0,43
12045,0,29.0,45.0,44
12047,0,30.0,42.0,39
12049,0,31.0,40.0,38
12051,0,17.0,39.0,32
12053,1,28.0,45.0,43
12055,0,22.0,46.0,43
12057,1,27.0,48.0,43
12059,0,21.0,39.0,39
12061,1,27.0,56.0,55
12063,0,27.0,36.0,35
12065,1,18.0,36.0,31
12067,0,21.0,33.0,33
12069,1,33.0,57.0,55
12071,1,32.0,57.0,55
12073,1,24.0,47.0,42
12075,0,29.0,40.0,39
12077,0,20.0,23.0,23
12079,0,23.0,41.0,37
12081,1,29.0,53.0,51
12083,1,28.0,48.0,46
12085,1,29.0,56.0,55
12086,1,20.0,43.0,29
12087,0,18.0,45.0,42
12089,1,40.0,53.0,52
12091,1,26.0,39.0,37
12093,0,24.0,40.0,38
12095,1,28.0,49.0,43
12097,1,27.0,46.0,39
12099,1,25.0,59.0,56
12101,1,28.0,47.0,46
12103,1,28.0,49.0,48
12105,1,27.0,49.0,46
12107,0,28.0,41.0,40
12109,1,35.0,55.0,54
12111,1,24.0,49.0,45
12113,1,26.0,39.0,39
12115,1,35.0,58.0,58
12117,1,29.0,51.0,48
12119,0,27.0,53.0,52
12121,0,24.0,36.0,35
12123,0,24.0,35.0,34
12125,0,19.0,41.0,39
12127,1,28.0,48.0,46
12129,1,25.0,38.0,37
12131,0,27.0,41.0,41
12133,0,23.0,32.0,31
12990,0,,57.0,43
13001,0,23.0,33.0,31
13003,0,26.0,39.0,36
13005,0,9.0,32.0,30
13007,1,26.0,29.0,28
13009,0,24.0,47.0,40
13011,0,28.0,46.0,45
13013,1,32.0,50.0,48
13015,1,35.0,50.0,49
13017,0,29.0,38.0,36
13019,0,31.0,41.0,40
13021,1,29.0,49.0,42
13023,0,24.0,48.0,45
13025,1,30.0,36.0,36
13027,1,28.0,42.0,38
13029,1,21.0,43.0,40
13031,0,34.0,53.0,49
13033,1,24.0,37.0,32
13035,1,25.0,45.0,43
13037,0,18.0,40.0,30
13039,0,30.0,43.0,41
13043,0,28.0,33.0,31
13045,1,29.0,45.0,43
13047,1,42.0,52.0,51
13049,0,26.0,40.0,38
13051,1,30.0,51.0,46
13053,1,26.0,24.0,25
13055,0,26.0,42.0,41
13057,1,38.0,53.0,53
13059,1,33.0,60.0,53
13061,0,23.0,40.0,33
13063,1,28.0,51.0,39
13065,0,29.0,35.0,34
13067,1,34.0,55.0,51
13069,0,27.0,41.0,39
13071,0,28.0,38.0,36
13073,1,29.0,50.0,47
13075,0,36.0,43.0,41
13077,1,31.0,49.0,46
13079,1,36.0,43.0,41
13081,0,27.0,46.0,40
13083,1,47.0,43.0,43
13085,1,64.0,49.0,49
13087,0,26.0,40.0,36
13089,1,31.0,59.0,46
13091,0,28.0,45.0,42
13093,0,30.0,44.0,39
13095,1,29.0,50.0,41
13097,1,30.0,48.0,42
13099,0,22.0,40.0,34
13101,1,37.0,43.0,41
13103,1,25.0,42.0,40
13105,0,24.0,38.0,35
