GEOID,State,County,Geographic Area Name,WholeNum,WhiteNum,BlackNum,NHWhiteNum,NHBlackNum,Above15_WholeNum,Above15_WhiteNum,Above15_NHWhiteNum,Above15_BlackNum,Above15_NHBlackNum,Above20_WholeNum,Above20_WhiteNum,Above20_NHWhiteNum,Above20_BlackNum,Above20_NHBlackNum
01001,Alabama,Autauga,"Autauga, Alabama",55869,42607,11237,41215,11098,45276,34972,33972,8938,8833,41617,32297,31409,8104,8007
01003,Alabama,Baldwin,"Baldwin, Alabama",223234,195198,19593,185747,19215,184050,162563,156091,15556,15269,170966,151752,146007,14074,13802
01005,Alabama,Barbour,"Barbour, Alabama",24686,12134,11906,11235,11807,20493,10362,9807,9666,9598,19091,9753,9270,8911,8848
01007,Alabama,Bibb,"Bibb, Alabama",22394,17191,4763,16663,4719,18681,14332,13911,4063,4035,17402,13331,12932,3812,3791
01009,Alabama,Blount,"Blount, Alabama",57826,55412,978,50176,872,46891,45138,41570,761,684,43304,41761,38683,684,617
01011,Alabama,Bullock,"Bullock, Alabama",10101,2689,7097,2121,6978,8307,2282,1950,5810,5716,7786,2180,1889,5422,5339
01013,Alabama,Butler,"Butler, Alabama",19448,10127,8747,9937,8680,15905,8497,8367,6975,6925,14756,8050,7930,6311,6265
01015,Alabama,Calhoun,"Calhoun, Alabama",113605,85322,24213,81464,23855,93487,71420,68830,19327,19062,86057,66316,64116,17317,17090
01017,Alabama,Chambers,"Chambers, Alabama",33254,18970,13365,18331,13231,27480,16007,15659,10784,10693,25662,15040,14744,9984,9903
01019,Alabama,Cherokee,"Cherokee, Alabama",26196,24409,1073,24014,1069,22170,20728,20452,924,924,20697,19403,19173,845,845
01021,Alabama,Chilton,"Chilton, Alabama",44428,38677,4596,35481,4412,35697,31342,29358,3608,3481,32856,28903,27185,3299,3186
01023,Alabama,Choctaw,"Choctaw, Alabama",12589,7191,5255,7091,5234,10579,6097,6044,4386,4369,9851,5686,5636,4077,4061
01025,Alabama,Clarke,"Clarke, Alabama",23622,12518,10635,12309,10569,19526,10577,10420,8635,8584,18038,9858,9723,7893,7847
01027,Alabama,Clay,"Clay, Alabama",13235,11015,1824,10634,1786,11015,9269,8995,1502,1474,10279,8685,8440,1388,1362
