,count,mean,std,min,25%,50%,75%,max
CvdVax_DisparityY,756.0,12.118775262604265,10.35470636685003,-18.16801589028421,4.921825979723863,10.451356054593445,17.756555443759968,53.84222470369822
MedianInc_WholeAvg,756.0,1.5037941497568257e-16,1.0,-1.8910158367605,-0.6291370466175124,-0.2368494440284462,0.3393733394236187,5.052217150522625
MedianInc_Disparity,756.0,-4.6993567179900803e-17,1.0,-5.506800857323102,-0.45582016239036316,0.051216288318470096,0.5283156904699483,5.669511037172467
HighSchool_WholeRate,756.0,-2.2368937977632784e-15,1.0,-4.736984668197454,-0.5571515161169364,0.18268366412730475,0.7481627827853229,1.8602717161460902
HighSchool_Disparity,756.0,6.109163733387104e-17,1.0,-4.70278978042403,-0.553438219140644,-0.07125057593340076,0.4997611068120193,4.49684288602996
FacNumRate,756.0,-2.0207233887357345e-16,0.9999999999999998,-1.9948066976572216,-0.5804737961394162,-0.22233550921241396,0.24432008844308933,6.297830947516687
CaseRate,756.0,-4.4173953149106755e-16,1.0,-2.7229039646161546,-0.6582495940391563,0.02183967455948966,0.6199705728007554,5.529372638409097
IT_WholeRate,756.0,1.6729709916044686e-15,1.0,-3.840225563457032,-0.5543024767187232,0.10146426658935453,0.6969713632150659,2.029772960424996
IT_Disparity,756.0,-3.759485374392064e-17,1.0,-2.871417625546915,-0.5900758819762527,-0.05776280847643072,0.5410893992108678,6.082848717967934
urban,756.0,0.6031746031746031,0.4895630988457953,0.0,0.0,1.0,1.0,1.0
vehicle,756.0,4.0978390580873504e-15,1.0,-14.090830515456645,-0.2246042442152802,0.15832933013586037,0.4606453098867593,1.1458948639888074
republican_rate,756.0,1.5037941497568257e-16,1.0,-2.9567634433170893,-0.6641068581740361,0.10362930554963622,0.7968704577369894,1.9032843237041477
Segregation,756.0,2.631639762074445e-16,0.9999999999999998,-2.7790364524257614,-0.7178730567402449,0.06069603565771211,0.7186994952500787,2.561686007214707
racial_weighted_bias,756.0,1.2406301735493812e-15,0.9999999999999999,-4.703235646842416,-0.4227678974530683,0.09772521580832495,0.47630543090827365,2.373681553710694
hesitancy,756.0,3.759485374392064e-17,1.0,-2.8109564975800723,-0.7048285370542698,0.08496944814290605,0.6115014382743567,2.4543634037344337
Black_Prop,756.0,-8.458842092382145e-17,1.0,-0.9025459152312181,-0.707503202441531,-0.3781366104732351,0.3437874691428273,4.915902121698141
CvdVax_RDY,756.0,-1.879742687196032e-17,1.0,-1.3554581285572813,-0.5923941373956504,-0.23988253157122585,0.2348143515137643,6.48159760289825
MedianInc_RD,756.0,-3.759485374392064e-17,1.0,-1.3571150272892045,-0.4030465804236814,-0.08243549108882864,0.2920030958021214,22.656346084104587
HighSchool_RD,756.0,-4.08844034465137e-16,1.0,-3.4340858121582825,-0.5287304514757395,-0.14429436881765106,0.33956440299687995,6.528260528666647
IT_RD,756.0,4.511382449270477e-16,1.0,-1.217148555681228,-0.3862583061013326,-0.15043909226084207,0.16975787603263917,16.01076957308676
CvdVax_LogRDY,756.0,-9.398713435980161e-17,0.9999999999999998,-2.690887022709073,-0.6742914124759409,-0.10282131741796911,0.5060071393969072,3.887875896734877
MedianInc_LogRD,756.0,-1.3158198810372225e-16,1.0,-3.938331486705372,-0.584010959159874,0.04044299346330396,0.6401126110790476,8.253888885781066
HighSchool_LogRD,756.0,-6.109163733387104e-17,0.9999999999999999,-4.642053577778872,-0.5392444267815985,-0.10495158842342475,0.4157724755410029,5.3996130761713275
IT_LogRD,756.0,3.759485374392064e-17,1.0,-2.247705768525417,-0.543984128508736,-0.1381659423832134,0.3717170904178479,9.987398841202209
CvdVax_SDY,756.0,3.759485374392064e-17,1.0,-4.457173927094107,-0.6152777154759022,0.0566474335442358,0.6418200835489002,3.4262375662361575
MedianInc_SD,756.0,6.579099405186112e-17,0.9999999999999998,-6.3758916800779195,-0.47674985385230395,0.1613474163461515,0.6600452987072266,2.6878843682910745
HighSchool_SD,756.0,8.458842092382145e-17,1.0,-5.951097950927236,-0.5376294734902303,-0.07039309880917854,0.485594969117623,4.574419775245677
IT_SD,756.0,-3.759485374392064e-17,1.0,-2.983024069904242,-0.5860852934115621,-0.09858769610290556,0.48132474347702325,5.780124201055054
org_WholeNum,756.0,225724.0529100529,567049.728628479,5331.0,34281.25,75867.0,188535.75,10039107.0
log_WholeNum,756.0,11.361897287492031,1.2859067055656654,8.581294116822761,10.44234463840521,11.236736473282527,12.147025134248468,16.12199872404898
BlackNum,756.0,30690.874338624337,95979.697569237,282.0,1828.75,5426.0,17923.75,1226489.0
NotInHighMobility,756.0,0.9841269841269841,0.12506699560674575,0.0,1.0,1.0,1.0,1.0
ReportNH,756.0,0.48148148148148145,0.49998773593004386,0.0,0.0,0.0,1.0,1.0
FluVax_Disparity,756.0,15.185185185185185,6.444677877581895,-12.0,12.0,16.0,19.0,37.0
