,count,mean,std,min,25%,50%,75%,max
FullCvdVax_DisparityY,534.0,8.815191187415252,7.759385139091905,-11.219497560905793,2.436799475756766,8.388082576682057,14.159412765310627,53.601805642128646
MedianInc_WholeAvg,534.0,2.1289669985321354e-16,1.0,-2.010373431520548,-0.6303978996850157,-0.21152675300982224,0.31762365565613815,5.811224374152954
MedianInc_Disparity,534.0,4.8234408560493693e-17,0.9999999999999999,-6.1815212005586355,-0.45235576216138623,0.0840336903320506,0.5752697922058339,3.84730523488936
HighSchool_WholeRate,534.0,-1.0777895430068936e-15,1.0,-4.811276780962969,-0.5756534228242937,0.1718095227295884,0.7611553067239979,1.8967240124693199
HighSchool_Disparity,534.0,-1.4969299208429077e-17,1.0,-4.525887877149338,-0.5674751317012332,-0.07419600496077607,0.5408804370242382,4.30441747808105
FacNumRate,534.0,-6.653021870412923e-18,0.9999999999999999,-1.8608256887902654,-0.5776163605948319,-0.20623935571547541,0.2692373688419552,5.912797054090474
CaseRate,534.0,-9.646881712098738e-16,1.0,-3.11543699057076,-0.6397775968243968,0.002210284425513272,0.6701819255215562,3.735347067352926
IT_WholeRate,534.0,-1.7164796425665342e-15,1.0,-3.7537030839346937,-0.5656102827146783,0.10934630132739762,0.6981382150662306,2.1485768318374983
IT_Disparity,534.0,-2.6612087481651693e-17,1.0,-2.7755722495885906,-0.5922093726298999,-0.05590543882401273,0.5342532833138448,5.6796295185309855
urban,534.0,0.5599250936329588,0.49686143836849367,0.0,0.0,1.0,1.0,1.0
vehicle,534.0,-1.4104406365275398e-15,0.9999999999999999,-8.214300457865289,-0.4887124380926386,0.1695215187489794,0.6545360132638514,1.7977844646203462
republican_rate,534.0,1.995906561123877e-17,1.0,-3.3388965867128446,-0.5910244484430418,0.133515907576106,0.7577001451918578,1.8564504559988217
Segregation,534.0,2.6612087481651693e-17,1.0,-2.5690116352854737,-0.7011402570834949,0.05307439062875945,0.7214060740506523,2.518014415182753
racial_weighted_bias,534.0,3.872058728580321e-15,1.0,-3.7895574345500087,-0.49330746844024426,0.07936449421511181,0.5324789382873397,3.1806530171943312
hesitancy,534.0,2.6612087481651693e-16,1.0,-2.9809268556058783,-0.334832202018898,0.04318131992209916,0.42119484186309636,3.0672894954500767
Black_Prop,534.0,6.653021870412923e-18,1.0,-0.9253008380520227,-0.7138372335328814,-0.37977249465689056,0.3916918552067264,5.003744181879167
org_WholeNum,534.0,159099.43258426967,390540.8903850562,5331.0,30224.75,60132.5,137338.5,5150233.0
log_WholeNum,534.0,11.121193139127973,1.1810034782343348,8.581294116822761,10.316392589472587,11.004298955502641,11.830192765993662,15.454552514334944
BlackNum,534.0,24484.116104868914,88279.35649096729,282.0,1521.25,4238.0,13465.75,1226489.0
NotInHighMobility,534.0,0.99812734082397,0.04327423224079155,0.0,1.0,1.0,1.0,1.0
ReportNH,534.0,0.5187265917602997,0.5001176861169516,0.0,0.0,1.0,1.0,1.0
FluVax_Disparity,534.0,15.222846441947565,6.217822425090569,-12.0,11.25,16.0,19.0,36.0
