,count,mean,std,min,25%,50%,75%,max
CvdVax_DisparityY,756.0,12.118775262604265,10.35470636685003,-18.16801589028421,4.921825979723863,10.451356054593445,17.756555443759968,53.84222470369822
MedianInc_WholeAvg,756.0,1.5037941497568257e-16,1.0,-1.8910158367605,-0.6291370466175124,-0.2368494440284462,0.3393733394236187,5.052217150522625
MedianInc_Disparity,756.0,-4.6993567179900803e-17,1.0,-5.506800857323102,-0.45582016239036316,0.051216288318470096,0.5283156904699483,5.669511037172467
HighSchool_WholeRate,756.0,-2.2368937977632784e-15,1.0,-4.736984668197454,-0.5571515161169364,0.18268366412730475,0.7481627827853229,1.8602717161460902
HighSchool_Disparity,756.0,6.109163733387104e-17,1.0,-4.70278978042403,-0.553438219140644,-0.07125057593340076,0.4997611068120193,4.49684288602996
FacNumRate,756.0,-2.0207233887357345e-16,0.9999999999999998,-1.9948066976572216,-0.5804737961394162,-0.22233550921241396,0.24432008844308933,6.297830947516687
CaseRate,756.0,-4.4173953149106755e-16,1.0,-2.7229039646161546,-0.6582495940391563,0.02183967455948966,0.6199705728007554,5.529372638409097
IT_WholeRate,756.0,1.6729709916044686e-15,1.0,-3.840225563457032,-0.5543024767187232,0.10146426658935453,0.6969713632150659,2.029772960424996
IT_Disparity,756.0,-3.759485374392064e-17,1.0,-2.871417625546915,-0.5900758819762527,-0.05776280847643072,0.5410893992108678,6.082848717967934
urban,756.0,0.6031746031746031,0.4895630988457953,0.0,0.0,1.0,1.0,1.0
vehicle,756.0,4.0978390580873504e-15,1.0,-14.090830515456645,-0.2246042442152802,0.15832933013586037,0.4606453098867593,1.1458948639888074
republican_rate,756.0,1.5037941497568257e-16,1.0,-2.9567634433170893,-0.6641068581740361,0.10362930554963622,0.7968704577369894,1.9032843237041477
Segregation,756.0,2.631639762074445e-16,0.9999999999999998,-2.7790364524257614,-0.7178730567402449,0.06069603565771211,0.7186994952500787,2.561686007214707
racial_weighted_bias,756.0,1.2406301735493812e-15,0.9999999999999999,-4.703235646842416,-0.4227678974530683,0.09772521580832495,0.47630543090827365,2.373681553710694
hesitancy,756.0,3.759485374392064e-17,1.0,-2.8109564975800723,-0.7048285370542698,0.08496944814290605,0.6115014382743567,2.4543634037344337
Black_Prop,756.0,-8.458842092382145e-17,1.0,-0.9025459152312181,-0.707503202441531,-0.3781366104732351,0.3437874691428273,4.915902121698141
positivity,756.0,1.879742687196032e-17,1.0,-1.6822770032522811,-0.6657908773309744,-0.15256829383184312,0.5571793669192195,5.243904097734703
FluVax_WholeRate,756.0,2.161704090275437e-16,1.0,-3.789943811146172,-0.6119818687561106,0.18250861684140476,0.7121689405730817,2.3011499117681122
FluVax_Disparity,756.0,9.39871343598016e-18,1.0,-4.218238009963242,-0.49423497119460336,0.12643220193350319,0.5919325817795831,3.3849348608560628
Above75_WholeRate,756.0,2.5846461948945442e-17,1.0,-2.25836412062429,-0.656372420634159,0.009194464030080575,0.5844393567892779,5.517147870259874
Above75_Disparity,756.0,1.409807015397024e-16,1.0,-3.6957134409323107,-0.6051453795647735,0.054802339991465984,0.5641147180817073,5.226758984498043
A15T74_WholeRate,756.0,3.768884087828045e-15,0.9999999999999999,-3.9486587373355957,-0.5591148191859716,-0.042061237449854565,0.48815836432277826,4.085326399691124
A15T74_Disparity,756.0,1.409807015397024e-17,1.0,-4.746313645373538,-0.3574871689892216,0.11512458991534608,0.5632663241846845,4.069057773059177
org_WholeNum,756.0,225724.0529100529,567049.728628479,5331.0,34281.25,75867.0,188535.75,10039107.0
log_WholeNum,756.0,11.361897287492031,1.2859067055656654,8.581294116822761,10.44234463840521,11.236736473282527,12.147025134248468,16.12199872404898
BlackNum,756.0,30690.874338624337,95979.697569237,282.0,1828.75,5426.0,17923.75,1226489.0
NotInHighMobility,756.0,0.9841269841269841,0.12506699560674575,0.0,1.0,1.0,1.0,1.0
ReportNH,756.0,0.48148148148148145,0.49998773593004386,0.0,0.0,0.0,1.0,1.0
