State,County,Geographic Area Name,WholeNum,WhiteNum,NHWhiteNum,BlackNum,Above15_WholeNum,Above15_WhiteNum,Above15_NHWhiteNum,Above15_BlackNum,Above20_WholeNum,Above20_WhiteNum,Above20_NHWhiteNum,Above20_BlackNum,CvdVax_ZWhiteNum,CvdVax_WhiteNum,CvdVax_NHWhiteNum,CvdVax_BlackNum,ReportNH,FullCvdVax_ZWhiteNum,FullCvdVax_WhiteNum,FullCvdVax_NHWhiteNum,FullCvdVax_BlackNum,CvdVax_ZWhiteRate,CvdVax_WhiteRate,CvdVax_NHWhiteRate,CvdVax_MWhiteRate,CvdVax_MBlackRate,FullCvdVax_ZWhiteRate,FullCvdVax_WhiteRate,FullCvdVax_NHWhiteRate,FullCvdVax_MWhiteRate,FullCvdVax_MBlackRate,CvdVaxAbove15_ZWhiteRate,CvdVaxAbove15_WhiteRate,CvdVaxAbove15_NHWhiteRate,CvdVaxAbove15_MWhiteRate,CvdVaxAbove15_MBlackRate,FullCvdVaxAbove15_ZWhiteRate,FullCvdVaxAbove15_WhiteRate,FullCvdVaxAbove15_NHWhiteRate,FullCvdVaxAbove15_MWhiteRate,FullCvdVaxAbove15_MBlackRate,CvdVaxAbove20_ZWhiteRate,CvdVaxAbove20_WhiteRate,CvdVaxAbove20_NHWhiteRate,CvdVaxAbove20_MWhiteRate,CvdVaxAbove20_MBlackRate,FullCvdVaxAbove20_ZWhiteRate,FullCvdVaxAbove20_WhiteRate,FullCvdVaxAbove20_NHWhiteRate,FullCvdVaxAbove20_MWhiteRate,FullCvdVaxAbove20_MBlackRate,Valid,GEOID,IT_WholeRate,IT_WhiteRate,IT_NHWhiteRate,IT_BlackRate,HighSchool_WholeRate,Bachelor_WholeRate,HighSchool_WhiteRate,Bachelor_WhiteRate,HighSchool_NHWhiteRate,Bachelor_NHWhiteRate,HighSchool_BlackRate,Bachelor_BlackRate,Unempl_WholeRate,Unempl_WhiteRate,Unempl_NHWhiteRate,Unempl_BlackRate,TCI,fixed_d,fixed_u,fixed_lat,mobile_d,mobile_u,mobile_lat,undervaccination,barriers,resource_constrained,inaccessibility,irregular_behavior,CVAC,FQHC,FacDensity10K,HOPD,PHMCY,RUHC,cases,deaths,incident_rate,mortality,republican,republican_rate,MeanInc_TotalAvg,MeanInc_WhiteAvg,MeanInc_NHWhiteAvg,MeanInc_BlackAvg,MedianInc_TotalAvg,MedianInc_WhiteAvg,MedianInc_NHWhiteAvg,MedianInc_BlackAvg,poorhealth_WholeRate,providerb,providerc,injury_deaths,Segregation,AvgTrafficVolume,ADIMean,ADIStd,sdi_score,Above75_WholeRate,Above75_WhiteRate,Above75_NHWhiteRate,Above75_BlackRate,Above65_WholeRate,Above65_WhiteRate,Above65_NHWhiteRate,Above65_BlackRate,Above15_WholeRate,Above15_WhiteRate,Above15_NHWhiteRate,Above15_BlackRate,Above20_WholeRate,Above20_WhiteRate,Above20_NHWhiteRate,Above20_BlackRate,A20T74_WholeRate,A20T74_WhiteRate,A20T74_NHWhiteRate,A20T74_BlackRate,A15T74_WholeRate,A15T74_WhiteRate,A15T74_NHWhiteRate,A15T74_BlackRate,urban,FluVax_BlackRate,FluVax_NHWhiteRate,FluVax_WholeRate,racial_bias,racial_explicit_bias,racial_weighted_bias,racial_weighted_explicit_bias,sex_bias,sex_explicit_bias,sex_weighted_bias,sex_weighted_explicit_bias,AREA_SQMI,DENSITY,EP_POV,EP_AGE65,EP_DISABL,EP_MINRTY,EP_LIMENG,EP_NOVEH,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,hesitancy,strong_hesitancy,NotInHighMobility,positivity
California,Alameda,"Alameda, California",1671329,823593,512134,184368,1386596,688292,449807,155233,1291981,642546,428174,144901,311756.546585,,311756.546585,69327.18716,1.0,,,,,60.87401863281876,,60.87401863281876,60.87401863281876,37.60261388093378,,,,,,69.30895841660978,,69.30895841660978,69.30895841660978,44.66008333279651,,,,,,72.81071400528756,,72.81071400528756,72.81071400528756,47.84451947191531,,,,,,1,6001,91.4,92.7,93.8,83.1,88.4,47.4,92.3,52.4,96.5,58.7,90.8,29.2,4.6,4.0,3.9,8.8,8.9,171.9418054285537,59.93990200743391,15.28217169731951,101.2583797447,16.88923291908002,34.81083056852049,0.744667303406558,0.228907991085642,0.273798153454314,0.33365170327921,0.983763132760267,0.530722699777141,113,1.7292,12,164,0,88408,1677,5289.68264177789,1.8968871595330736,0,17.70559475439818,47314.0,58792.0,66814.0,34574.0,99406.0,108506.0,114427.0,51749.0,0.145,34,14,42.4,49.890444154,1620.6797066,10.4072265625,9.313439900461526,62,5.863537340643284,6.504304917598863,8.61942382267141,6.095960253406231,14.28581685592723,15.639278138595156,20.562001351208863,15.236375075935085,82.96367740881657,83.57186134413479,87.82994294461997,84.19736613729064,77.30261366852366,78.0174187978771,83.60585315561943,78.5933567647314,71.43907632788039,71.51311388027824,74.986429332948,72.49739651132518,77.10014006817329,77.06755642653592,79.21051912194855,78.1014058838844,1.0,28.0,52.0,47.0,0.3308643242628,0.482831206420208,0.332588273253372,0.420232459915463,0.170999096364971,0.445859508852085,0.188981647715355,0.388208127545739,737.299612,2229.35150547726,0.106,0.131,0.094,0.682,0.084,0.096,0.2548,0.0239,0.9806,0.916,0.4701,0.09,0.03,0.0,0.87
California,Alpine,"Alpine, California",1129,767,692,4,975,705,643,3,902,664,604,3,158.19212199999998,,158.19212199999998,2.0023589999999998,1.0,,,,,22.86013323699422,,22.86013323699422,22.86013323699422,50.058975,,,,,,24.602196267496108,,24.602196267496108,24.602196267496108,66.7453,,,,,,26.190748675496682,,26.190748675496682,26.190748675496682,66.7453,,,,,,1,6003,85.7,88.7,88.0,,91.2,34.5,96.4,45.2,97.7,47.8,100.0,0.0,12.5,6.9,7.1,100.0,0.0,19.89723346303502,13.76988326848249,77.1011673151751,35.29003846153846,12.78723076923077,84.96153846153847,0.988857051894301,0.498248965297676,0.862464183381089,0.549188156638013,0.957975167144222,0.901305316778096,0,0.0,0,0,0,88,0,7794.508414526129,0.0,0,32.928475033738195,36739.0,49825.0,52403.0,,63750.0,71500.0,78125.0,,,10,6,,,4.8948196451,26.5,4.949747468305833,39,8.503100088573959,10.821382007822686,11.416184971098266,0.0,26.395039858281667,33.50717079530639,36.127167630057805,0.0,86.35961027457927,91.91655801825294,92.91907514450868,75.0,79.89371124889283,86.57105606258149,87.28323699421965,75.0,71.39061116031885,75.7496740547588,75.86705202312139,75.0,77.85651018600531,81.09517601043025,81.5028901734104,75.0,0.0,,45.0,42.0,0.547057244704099,-0.5,0.372052683226927,0.599827339999365,,0.0,0.293735160775616,0.854201270624355,738.340009,1.5521304358843162,0.198,0.256,0.207,0.408,0.005,0.06,0.6672,0.6266,0.609,0.7055,0.7287,0.12,0.05,1.0,0.0
California,Amador,"Amador, California",39752,35636,30742,1066,34773,31367,27281,1010,33121,29944,26195,975,13833.370608,,13833.370608,96.187656,1.0,,,,,44.99827795198751,,44.99827795198751,44.99827795198751,9.023232270168856,,,,,,50.70697777940691,,50.70697777940691,50.70697777940691,9.523530297029703,,,,,,52.809202550104985,,52.809202550104985,52.809202550104985,9.865400615384615,,,,,,1,6005,87.4,87.5,87.6,53.1,90.0,19.3,92.2,20.4,93.1,20.7,65.9,2.2,6.9,7.0,7.4,0.0,0.3,33.56894210813763,9.626342435827416,44.76843255051885,39.52815460526315,9.559713815789474,48.88157894736842,0.786055396370583,0.258516396052213,0.508755173511621,0.222222222222222,0.945877109200891,0.582935370900987,1,2.0125,1,5,1,3669,47,9229.72429060173,1.2810029980921231,0,60.913819388395666,31987.0,34736.0,35857.0,2226.0,62772.0,62331.0,61164.0,,0.175,12,7,93.4,,50.4993426,32.592592592592595,11.994419405127406,20,10.82461259810827,11.49680098776518,12.777307917506992,1.2195121951219512,27.533205876433893,29.13907284768212,32.01158024851994,5.816135084427768,87.47484403300463,88.02054102592884,88.74178648103572,94.7467166979362,83.31907828536929,84.02738803457179,85.20916010669443,91.46341463414636,72.49446568726103,72.5305870468066,72.43185218918742,90.2439024390244,76.65023143489636,76.52374003816365,75.96447856352873,93.52720450281426,0.0,38.0,48.0,48.0,0.496813578136987,0.507692307692308,0.388766773027386,0.543749890158384,0.229522340054577,0.261363636363636,0.281597052821412,0.479462469484446,594.5714339,63.6239782861186,0.0969999999999999,0.263,0.185,0.213,0.011,0.055,0.3901,0.3754,0.6192,0.751,0.5334,0.12,0.05,1.0,0.0
California,Butte,"Butte, California",219186,187742,155415,4158,182301,158368,133589,3353,167086,146034,124247,3022,59973.671932,,59973.671932,922.425324,1.0,,,,,38.589371638516226,,38.589371638516226,38.589371638516226,22.18435122655123,,,,,,44.894169379215356,,44.894169379215356,44.894169379215356,27.51044807634954,,,,,,48.26971430457073,,48.26971430457073,48.26971430457073,30.5236705493051,,,,,,1,6007,89.1,89.2,89.2,82.8,89.2,27.2,91.0,28.5,92.6,29.4,91.9,21.7,8.1,8.0,7.5,20.3,1.7,145.6668437898315,23.66280413539159,29.86630788840108,32.08747041272999,8.679577324714073,51.47886623570363,0.857051894301178,0.447628143903216,0.401782871696912,0.301177968799745,0.958611907035976,0.662209487424387,6,1.7793,3,28,2,12198,188,5565.136459445403,1.5412362682406953,0,47.75484604378589,29506.0,31943.0,33567.0,18531.0,52537.0,53884.0,54549.0,30360.0,0.173,13,8,90.9,62.099507235,240.57942353,44.32275132275132,19.18406255775209,75,7.511884883158595,8.215529822841985,9.393559180259306,3.992303992303993,18.3533619847983,20.00830927549509,22.69600746388701,9.764309764309765,83.17182666776162,84.35406035942943,85.95631052343725,80.63973063973064,76.23023368280822,77.7844062596542,79.94530772447962,72.67917267917268,68.7183487996496,69.56887643681222,70.55174854422032,68.68686868686868,75.65994178460303,76.13853053658744,76.56275134317795,76.64742664742664,1.0,27.0,40.0,40.0,0.364037927709611,0.696461824953445,0.365206643134734,0.593670316808646,0.301397618419967,0.791467576791809,0.319832357242173,0.720137252626404,1636.4694605,138.7590819633264,0.201,0.177,0.17,0.276,0.025,0.072,0.6583,0.3133,0.7953,0.9484,0.8064,0.13,0.05,1.0,2.98
California,Calaveras,"Calaveras, California",45905,41752,36672,498,39560,36238,32159,417,37275,34272,30651,351,11876.198571,,11876.198571,109.46679300000001,1.0,,,,,32.3849219322644,,32.3849219322644,32.3849219322644,21.981283734939762,,,,,,36.92962645293697,,36.92962645293697,36.92962645293697,26.25102949640288,,,,,,38.746528893021434,,38.746528893021434,38.746528893021434,31.187120512820517,,,,,,1,6009,86.3,86.2,86.2,100.0,90.2,18.3,91.1,19.1,92.2,19.8,67.3,12.6,6.4,6.3,6.4,45.9,0.1,54.15177173548172,6.586064115474993,60.42463914065122,36.65012865497076,6.40940350877193,60.30409356725146,0.9735752944922,0.345431391276663,0.597262018465457,0.0136899076727157,0.904489016236867,0.619866284622732,0,1.0892,0,5,0,2150,55,4683.58566604945,2.558139534883721,0,60.80842291267855,33456.0,34943.0,35952.0,19684.0,63158.0,63813.0,63324.0,,0.214,12,9,92.3,57.414759293,17.59655406,35.0,13.10172402448598,14,11.1403986493846,11.577888484383982,12.393651832460732,7.83132530120482,28.027447990414988,28.99262310787507,30.88187172774869,19.076305220883537,86.17797625530987,86.79344702050201,87.69360820244329,83.73493975903614,81.20030497767128,82.08469055374593,83.58147905759162,70.48192771084338,70.05990632828669,70.50680206936195,71.18782722513089,62.65060240963856,75.03757760592528,75.21555853611804,75.29995636998254,75.90361445783132,0.0,37.0,45.0,44.0,0.291950029546979,0.566265060240964,0.356744042901818,0.573545796292162,0.272429574684035,1.08695652173913,0.293506043587812,1.05031353046147,1020.0155378,44.34736366620866,0.1169999999999999,0.27,0.214,0.184,0.0069999999999999,0.025,0.314,0.5973,0.5135,0.063,0.235,0.12,0.05,1.0,0.0
California,Colusa,"Colusa, California",21547,19630,7344,282,16719,15219,6350,236,15119,13801,6001,195,2797.328149,,2797.328149,37.256527000000006,1.0,,,,,38.08998024237473,,38.08998024237473,38.08998024237473,13.211534397163122,,,,,,44.05241179527559,,44.05241179527559,44.05241179527559,15.78666398305085,,,,,,46.61436675554074,,46.61436675554074,46.61436675554074,19.105911282051284,,,,,,1,6011,86.5,86.0,86.6,87.2,71.3,15.0,71.9,15.1,93.6,24.5,74.9,8.7,4.3,3.8,2.3,7.4,0.0,63.05805984042554,7.472412234042552,113.7207446808511,16.78417015706806,12.32883769633508,50.04973821989529,0.881566380133715,0.673352435530086,0.534224769181789,0.5132123527539,0.999681630054123,0.837312957656797,2,1.8564,0,1,1,2248,18,10433.006915115791,0.800711743772242,0,57.26667504082402,26932.0,27611.0,41077.0,15870.0,59401.0,59691.0,58512.0,19375.0,,10,8,55.3,19.219009659,152.92216792,40.05,12.804090629252247,76,6.36747575068455,6.449312277126847,12.568082788671022,7.092198581560284,14.91622963753655,15.048395313295975,27.573529411764707,19.148936170212767,77.5931684225182,77.52929190015283,86.46514161220044,83.68794326241135,70.16754072492691,70.30565461029038,81.71296296296296,69.14893617021278,63.80006497424235,63.85634233316353,69.14488017429193,62.05673758865248,71.22569267183366,71.07997962302598,73.89705882352942,76.59574468085107,0.0,33.0,46.0,46.0,0.468257719460874,0.583333333333333,0.372233052462564,0.600924899582334,0.192090370874184,0.5,0.283731793811594,0.735347588181763,1150.7124795,18.6527915377492,0.138,0.138,0.123,0.643,0.16,0.054,0.5898,0.6851,0.9847,0.4228,0.7436,0.14,0.05,1.0,0.0
California,Contra Costa,"Contra Costa, California",1153526,751283,492393,110064,941807,619586,424637,89920,868066,573795,400265,82421,294173.744148,,294173.744148,39972.803896,1.0,,,,,59.74368931889772,,59.74368931889772,59.74368931889772,36.31778228666957,,,,,,69.27652186408628,,69.27652186408628,69.27652186408628,44.453740987544485,,,,,,73.49474576792875,,73.49474576792875,73.49474576792875,48.49832432996445,,,,,,1,6013,93.8,94.4,95.0,88.8,89.5,42.4,92.6,45.9,96.8,51.1,91.9,27.1,5.3,4.5,4.3,10.3,4.0,181.1582712538589,40.85265111612444,17.2195203039658,60.47032789591223,15.44458384309156,37.36789979609671,0.744985673352436,0.196115886660299,0.380770455269023,0.0776822667940146,0.977714103788602,0.465775230818211,33,1.4044,7,122,0,69197,808,5998.73778311022,1.167680679798257,0,26.30232438105397,48178.0,57429.0,64996.0,34862.0,99716.0,106807.0,111774.0,66852.0,0.138,22,13,47.5,52.702580187,1015.8096979,16.009463722397477,15.54557805886632,37,6.757628349946165,7.72904484728125,10.197748546384696,5.107028637883413,16.2721949917037,18.118205789296443,23.631936278541733,13.385848233754908,81.64592735664388,82.47038732408427,86.23944694583392,81.69792120947812,75.25326693980023,76.3753472393226,81.28974213687034,74.88461258903911,68.49563858985407,68.64630239204135,71.09199359048564,69.77758395115569,74.88829900669772,74.74134247680301,76.04169839944922,76.59089257159471,1.0,27.0,54.0,48.0,0.372099673457014,0.76195059351941,0.370822055378282,0.686953042505944,0.24620789289567,0.783477321814255,0.263958535741147,0.732261077589239,717.0813939,1580.3603463152135,0.091,0.15,0.1119999999999999,0.556,0.065,0.055,0.2478,0.141,0.9564,0.4795,0.4057,0.09,0.04,1.0,1.48
California,Del Norte,"Del Norte, California",27812,21720,17236,980,22938,18439,14775,919,21437,17408,14036,888,6032.819044,,6032.819044,47.229924,1.0,,,,,35.001270851705726,,35.001270851705726,35.001270851705726,4.81938,,,,,,40.831262565143824,,40.831262565143824,40.831262565143824,5.139273558215452,,,,,,42.98104192077515,,42.98104192077515,42.98104192077515,5.318685135135135,,,,,,1,6015,84.0,85.4,87.4,100.0,80.1,14.8,81.2,14.3,87.4,16.6,65.9,24.0,7.7,5.7,5.5,0.0,1.1,101.5079833178869,11.44917516218721,40.98980537534754,48.56248557692308,13.81745192307692,58.76442307692308,0.999681630054123,0.746577523081821,0.120343839541547,0.495702005730659,0.984718242597899,0.776822667940146,2,2.8765,1,5,0,1414,8,5084.136344024162,0.5657708628005658,0,56.41809290953545,23674.0,24264.0,27307.0,23335.0,45283.0,46473.0,45974.0,103661.0,0.159,8,5,96.7,35.769303335,57.394244118,47.55555555555556,18.007260699742666,90,7.20192722565799,8.176795580110499,9.897888141100024,1.020408163265306,18.42010642887962,21.054327808471456,25.18565792527269,3.26530612244898,82.47519056522364,84.89410681399632,85.72174518449756,93.77551020408164,77.07823960880195,80.14732965009208,81.43420747273149,90.6122448979592,69.87631238314397,71.97053406998158,71.53631933163147,89.59183673469387,75.27326333956566,76.71731123388582,75.82385704339754,92.75510204081633,0.0,0.0,37.0,36.0,0.36160614364502,0.560975609756098,0.368791867450626,0.556141874056872,0.243676528613645,0.893617021276596,0.281300099271864,0.870407726723657,1006.2273655,27.25427765162485,0.225,0.1669999999999999,0.21,0.374,0.017,0.096,0.8787,0.6765,0.8017,0.9968,0.9713,0.15,0.06,1.0,0.0
California,El Dorado,"El Dorado, California",192843,170936,148903,2000,161998,144842,128309,1696,150910,135406,120723,1534,62681.013363,,62681.013363,657.714949,1.0,,,,,42.09519846007132,,42.09519846007132,42.09519846007132,32.885747450000004,,,,,,48.85161084803092,,48.85161084803092,48.85161084803092,38.78036255896227,,,,,,51.921351658755995,,51.921351658755995,51.921351658755995,42.87581153846154,,,,,,1,6017,90.1,90.1,89.9,86.3,93.4,34.3,94.2,33.8,95.5,34.9,87.1,31.8,5.5,5.3,5.4,9.9,0.6,124.793201182703,17.96250252556363,34.27417765184181,36.57666590612777,9.584219035202088,46.94198174706649,0.767271569563833,0.1056988220312,0.425978987583572,0.0499840815027062,0.911493155046164,0.430117796879975,4,1.7112,2,26,1,10235,113,5307.426248295245,1.1040547142159258,0,53.24527717026296,42749.0,44005.0,46071.0,31829.0,83377.0,82487.0,83123.0,87944.0,0.0969999999999999,20,14,67.4,58.879477026,113.89489814,19.951219512195124,11.10003223930969,14,8.42395108974658,8.91620255534235,9.746613567221614,5.800000000000001,21.937016121923016,23.094023494173257,25.137169835396197,14.7,84.00512333867447,84.7346375251556,86.16951975447104,84.8,78.25536835664245,79.21444283240511,81.07492797324433,76.7,69.83141726689587,70.29824027706276,71.32831440602271,70.89999999999999,75.58117224892788,75.81843496981327,76.42290618724942,79.0,1.0,39.0,49.0,48.0,0.361631548646961,0.692022263450835,0.365255285562294,0.611921920729198,0.232310114925251,0.718997361477573,0.258171679809702,0.690413535931414,1707.8412963,109.29645535823316,0.089,0.1969999999999999,0.133,0.218,0.017,0.0409999999999999,0.171,0.1016,0.6937,0.2209,0.1838,0.1,0.04,1.0,2.17
California,Fresno,"Fresno, California",999101,765202,286049,57976,762351,586091,243474,43922,689966,531606,229795,39316,138118.17762,,138118.17762,11691.462276,1.0,,,,,48.2847965278676,,48.2847965278676,48.2847965278676,20.166038146819375,,,,,,56.72810140713177,,56.72810140713177,56.72810140713177,26.618692855516596,,,,,,60.104953380186686,,60.104953380186686,60.104953380186686,29.73716114558958,,,,,,1,6019,83.7,83.9,88.9,77.3,76.0,21.2,78.6,22.4,92.3,32.2,84.7,18.4,8.7,7.6,6.1,17.5,2.1,166.9874893719807,39.43400282953761,23.7450885668277,117.1545341957255,14.54613250843645,42.15343082114736,0.824578159821713,0.697230181470869,0.289398280802292,0.505571474052849,0.995861190703598,0.765042979942694,72,2.0218,6,110,14,102085,1693,10217.6856994438,1.6584219033158645,0,45.08222110748364,24422.0,26855.0,39223.0,20281.0,53969.0,57145.0,69100.0,33397.0,0.2339999999999999,25,11,53.3,48.479736713,335.74169988,52.28448275862069,22.893613696645605,100,5.175052372082503,5.659028596370631,10.344381557005969,3.4238305505726507,12.554786753291207,13.51708437771987,23.43759285996455,9.195184214157583,76.30369702362424,76.59297806330876,85.11618638764688,75.75893473161308,69.05868375669726,69.47263598370104,80.33413855668084,67.81426797295433,63.88363138461477,63.81360738733041,69.98975699967488,64.39043742238168,71.12864465154173,70.93394946693815,74.7718048306409,72.33510418104044,1.0,30.0,49.0,45.0,0.38537141942221,0.87531017369727,0.38059115846517,0.776538928907328,0.347508075929048,1.30754817987152,0.360915888846949,1.23103221283599,5958.0959769,164.1682181341633,0.241,0.1169999999999999,0.13,0.7020000000000001,0.12,0.085,0.9242,0.6905,0.9892,0.844,0.9611,0.13,0.05,1.0,2.17
