State,County,AreaName,FIPS,Vax_White,Vax_Black,VaxNumb_White,VaxNumb_Black,Total_Whole,Total_White,Total_Black,HighSchool_Rate,HighSchool_White,HighSchool_Black,Bachelor_Rate,Bachelor_White,Bachelor_Black,IT_Rate,IT_White,IT_Black,CnoI_Rate,CnoI_White,CnoI_Black,noC_Rate,noC_White,noC_Black,Unemployment_Rate,Unemployment_White,Unemployment_Black,TCI,fixed_d,fixed_u,fixed_lat,mobile_d,mobile_u,mobile_lat,undervaccination,barriers,resource_constrained,inaccessibility,irregular_behavior,CVAC,FQHC,FacDensity10K,HOPD,PHMCY,RUHC,cases,deaths,incident_rate,mortality,winner,votes_R,votes_D,votes_3party,votes_total,republican,republican_rate,MeanIncome,MeanIncome_White,MeanIncome_Black,MedianIncome,MedianIncome_White,MedianIncome_Black,AREA_SQMI,DENSITY,EP_POV,Age65,EP_DISABL,EP_MINRTY,EP_LIMENG,EP_NOVEH,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Rate_poorhealth,Num_providerb,Num_providerc,injury_deaths,Segregation,AvgTrafficVolume,Rate_viocrime,Above75_Rate,Above75_White,Above75_Black,Above65_Rate,Above65_White,Above65_Black,Below19_Rate,Below19_White,Below19_Black,Below24_Rate,Below24_White,Below24_Black,Below29_Rate,Below29_White,Below29_Black,Below39_Rate,Below39_White,Below39_Black,urban,FluVax_Rate,FluVax_White,FluVax_Black,racial_bias,racial_weighted_bias,racial_explicit_bias,racial_weighted_explicit_bias,sex_bias,sex_weighted_bias,sex_explicit_bias,sex_weighted_explicit_bias,hesitancy,strong_hesitancy,Vax_Disparity,HighSchool_Disparity,Bachelor_Disparity,IT_Disparity,CnoI_Disparity,noC_Disparity,Above75_Disparity,Unemployment_Disparity,MeanIncome_Disparity,MedianIncome_Disparity,FluVax_Disparity
California,Alameda,"Alameda, California",6001,0.26443236858982533,0.2637757367764471,217784.64774400002,48631.805038,1671329,823593,184368,0.631059017831925,0.923,0.908,0.3398471127345136,0.524,0.292,0.914,0.927,0.831,0.049,0.038,0.091,0.036,0.033,0.077,0.046,0.04,0.088,8.9,171.9418054285537,59.93990200743391,15.28217169731951,101.2583797447,16.88923291908002,34.81083056852049,0.744667303406558,0.228907991085642,0.273798153454314,0.33365170327921,0.983763132760267,0.530722699777141,113,1.7292,12,164,0,84091,1432,5031.385203033035,1.7029170779274834,D,136309,617659,15896,769864,0,0.1770559475439818,47314.0,58792.0,34574.0,99406.0,108506.0,51749.0,737.299612,2229.35150547726,0.106,0.131,0.094,0.682,0.084,0.096,0.2548,0.0239,0.9806,0.916,0.4701,0.145,34,14,42.4,49.890444154,1620.6797066,628.78196249,0.0586353734064328,0.0650430491759886,0.0609596025340623,0.1428581685592723,0.1563927813859515,0.1523637507593508,0.2269738633147632,0.2198258120212289,0.2140664323526859,0.2848290193014062,0.2772886607826924,0.2755358847522346,0.3651824386461313,0.3554158425338729,0.3607567473748156,0.5340624138036257,0.5156879672362441,0.5144276664063178,1.0,0.47,0.52,0.28,0.3308643242628,0.332588273253372,0.482831206420208,0.420232459915463,0.170999096364971,0.188981647715355,0.445859508852085,0.388208127545739,0.09,0.03,0.0006566318133782167,0.015000000000000013,0.23200000000000004,0.09600000000000009,-0.053,-0.044,0.004083446641926301,-0.047999999999999994,24218.0,56757.0,0.24
California,Alpine,"Alpine, California",6003,0.19035183050847457,0.49999950000000004,145.999854,1.9999980000000002,1129,767,4,0.6819541375872383,0.964,1.0,0.2612163509471585,0.452,0.0,0.857,0.887,,0.075,0.0409999999999999,,0.044,0.032,,0.125,0.069,1.0,0.0,19.89723346303502,13.76988326848249,77.1011673151751,35.29003846153846,12.78723076923077,84.96153846153847,0.988857051894301,0.498248965297676,0.862464183381089,0.549188156638013,0.957975167144222,0.901305316778096,0,0.0,0,0,0,88,0,7794.508414526129,0.0,D,244,476,21,741,0,0.3292847503373819,36739.0,49825.0,,63750.0,71500.0,,738.340009,1.5521304358843162,0.198,0.256,0.207,0.408,0.005,0.06,0.6672,0.6266,0.609,0.7055,0.7287,,10,6,,,4.8948196451,442.47787611,0.0850310008857395,0.1082138200782268,0.0,0.2639503985828166,0.3350717079530639,0.0,0.2010628875110717,0.1342894393741851,0.25,0.2639503985828166,0.1773142112125163,1.0,0.3188662533215234,0.2229465449804432,1.0,0.4038972542072631,0.2972620599739243,1.0,0.0,0.42,0.45,,0.547057244704099,0.372052683226927,-0.5,0.599827339999365,,0.293735160775616,0.0,0.854201270624355,0.12,0.05,-0.30964766949152545,-0.03600000000000003,0.452,,,,0.1082138200782268,-0.931,,,
California,Amador,"Amador, California",6005,0.3152429696935683,0.07410289305816135,11233.998468,78.993684,39752,35636,1066,0.7211350293542075,0.922,0.659,0.1638943248532289,0.204,0.022,0.8740000000000001,0.875,0.531,0.057,0.057,0.0,0.063,0.061,0.469,0.069,0.07,0.0,0.3,33.56894210813763,9.626342435827416,44.76843255051885,39.52815460526315,9.559713815789474,48.88157894736842,0.786055396370583,0.258516396052213,0.508755173511621,0.222222222222222,0.945877109200891,0.582935370900987,1,2.0125,1,5,1,3587,46,9023.445361239686,1.282408698076387,D,13585,8153,564,22302,0,0.6091381938839566,31987.0,34736.0,2226.0,62772.0,62331.0,,594.5714339,63.6239782861186,0.0969999999999999,0.263,0.185,0.213,0.011,0.055,0.3901,0.3754,0.6192,0.751,0.5334,0.175,12,7,93.4,,50.4993426,237.07073752,0.1082461259810827,0.1149680098776518,0.0121951219512195,0.2753320587643389,0.2913907284768212,0.0581613508442776,0.1668092171463071,0.1597261196542821,0.0853658536585365,0.2062537733950493,0.1970479290605006,0.1303939962476548,0.2604145703360837,0.2487372320125715,0.2270168855534709,0.3756288991748843,0.3595240767762936,0.4577861163227016,0.0,0.48,0.48,0.38,0.496813578136987,0.388766773027386,0.507692307692308,0.543749890158384,0.229522340054577,0.281597052821412,0.261363636363636,0.479462469484446,0.12,0.05,0.24114007663540693,0.263,0.182,0.344,0.057,-0.408,0.1027728879264323,0.07,32510.0,,0.09999999999999998
California,Butte,"Butte, California",6007,0.22376997144485516,0.13852008441558442,42011.021979,575.966511,219186,187742,4158,0.5880373559423906,0.91,0.919,0.181429488609716,0.285,0.217,0.8909999999999999,0.892,0.828,0.062,0.06,0.147,0.043,0.046,0.025,0.081,0.08,0.203,1.7,145.6668437898315,23.66280413539159,29.86630788840108,32.08747041272999,8.679577324714073,51.47886623570363,0.857051894301178,0.447628143903216,0.401782871696912,0.301177968799745,0.958611907035976,0.662209487424387,6,1.7793,3,28,2,11396,193,5199.237177556961,1.6935766935766936,D,48730,50426,2886,102042,0,0.4775484604378589,29506.0,31943.0,18531.0,52537.0,53884.0,30360.0,1636.4694605,138.7590819633264,0.201,0.177,0.17,0.276,0.025,0.072,0.6583,0.3133,0.7953,0.9484,0.8064,0.173,13,8,90.9,62.099507235,240.57942353,327.05730855,0.0751188488315859,0.0821552982284198,0.0399230399230399,0.183533619847983,0.2000830927549509,0.0976430976430976,0.2376976631719179,0.2221559374034579,0.2732082732082732,0.3468059091365324,0.3264266919495904,0.3927368927368927,0.4195432190012136,0.3952125789647495,0.5043290043290043,0.5382049948445612,0.5122881401071684,0.6455026455026455,1.0,0.4,0.4,0.27,0.364037927709611,0.365206643134734,0.696461824953445,0.593670316808646,0.301397618419967,0.319832357242173,0.791467576791809,0.720137252626404,0.13,0.05,0.08524988702927075,-0.009000000000000008,0.06799999999999998,0.06400000000000006,-0.087,0.020999999999999998,0.0422322583053799,-0.12300000000000001,13412.0,23524.0,0.13
California,Calaveras,"Calaveras, California",6009,0.23608464360988696,0.16065130522088353,9857.00604,80.00435,45905,41752,498,0.6921589974892794,0.911,0.6729999999999999,0.141044726375897,0.191,0.126,0.863,0.862,1.0,0.059,0.061,0.0,0.068,0.065,0.0,0.064,0.063,0.4589999999999999,0.1,54.15177173548172,6.586064115474993,60.42463914065122,36.65012865497076,6.40940350877193,60.30409356725146,0.9735752944922,0.345431391276663,0.597262018465457,0.0136899076727157,0.904489016236867,0.619866284622732,0,1.0892,0,5,0,2032,51,4426.533057401154,2.50984251968504,D,16518,10046,600,27164,0,0.6080842291267855,33456.0,34943.0,19684.0,63158.0,63813.0,,1020.0155378,44.34736366620866,0.1169999999999999,0.27,0.214,0.184,0.0069999999999999,0.025,0.314,0.5973,0.5135,0.063,0.235,0.214,12,9,92.3,57.414759293,17.59655406,327.24573793,0.1114039864938459,0.1157788848438398,0.0783132530120482,0.2802744799041499,0.2899262310787507,0.1907630522088353,0.1879969502232872,0.1791530944625407,0.2951807228915662,0.2298224594270776,0.2192709331289519,0.357429718875502,0.2777910902951748,0.2656878712397011,0.4156626506024096,0.3798496895762989,0.3672159417512933,0.5160642570281124,0.0,0.44,0.45,0.37,0.291950029546979,0.356744042901818,0.566265060240964,0.573545796292162,0.272429574684035,0.293506043587812,1.08695652173913,1.05031353046147,0.12,0.05,0.07543333838900343,0.2380000000000001,0.065,-0.138,0.061,0.065,0.03746563183179161,-0.3959999999999999,15259.0,,0.08000000000000002
California,Colusa,"Colusa, California",6011,0.10117183790117168,0.11701689361702128,1986.003178,32.998764,21547,19630,282,0.4512212339404207,0.7190000000000001,0.7490000000000001,0.0942161984093369,0.151,0.087,0.865,0.86,0.872,0.045,0.046,0.0819999999999999,0.087,0.091,0.046,0.043,0.038,0.074,0.0,63.05805984042554,7.472412234042552,113.7207446808511,16.78417015706806,12.32883769633508,50.04973821989529,0.881566380133715,0.673352435530086,0.534224769181789,0.5132123527539,0.999681630054123,0.837312957656797,2,1.8564,0,1,1,2173,16,10084.9306167912,0.7363092498849517,D,4559,3239,163,7961,0,0.5726667504082402,26932.0,27611.0,15870.0,59401.0,59691.0,19375.0,1150.7124795,18.6527915377492,0.138,0.138,0.123,0.643,0.16,0.054,0.5898,0.6851,0.9847,0.4228,0.7436,,10,8,55.3,19.219009659,152.92216792,200.95805585,0.0636747575068455,0.0644931227712684,0.0709219858156028,0.1491622963753655,0.1504839531329597,0.1914893617021276,0.298324592750731,0.2969434538970962,0.3085106382978723,0.3610711467953775,0.358889454915945,0.375886524822695,0.4303615352485265,0.4280183392766174,0.4397163120567376,0.5629089896505314,0.5599083036169129,0.5531914893617021,0.0,0.46,0.46,0.33,0.468257719460874,0.372233052462564,0.583333333333333,0.600924899582334,0.192090370874184,0.283731793811594,0.5,0.735347588181763,0.14,0.05,-0.0158450557158496,-0.030000000000000027,0.064,-0.01200000000000001,-0.03599999999999991,0.045,-0.006428863044334404,-0.036,11741.0,40316.0,0.13
California,Contra Costa,"Contra Costa, California",6013,0.29097940137604605,0.26737196396641955,218607.877604,29428.027842,1153526,751283,110064,0.6171371747612429,0.926,0.919,0.2930924242397481,0.4589999999999999,0.271,0.938,0.944,0.888,0.033,0.0279999999999999,0.063,0.0279999999999999,0.026,0.049,0.053,0.045,0.103,4.0,181.1582712538589,40.85265111612444,17.2195203039658,60.47032789591223,15.44458384309156,37.36789979609671,0.744985673352436,0.196115886660299,0.380770455269023,0.0776822667940146,0.977714103788602,0.465775230818211,33,1.4044,7,122,0,65882,774,5711.358044812168,1.1748277222913694,D,152877,416386,11967,581230,0,0.2630232438105397,48178.0,57429.0,34862.0,99716.0,106807.0,66852.0,717.0813939,1580.3603463152135,0.091,0.15,0.1119999999999999,0.556,0.065,0.055,0.2478,0.141,0.9564,0.4795,0.4057,0.138,22,13,47.5,52.702580187,1015.8096979,336.02779077,0.0675762834994616,0.0772904484728125,0.0510702863788341,0.1627219499170369,0.1811820578929644,0.133858482337549,0.2474673306019977,0.236246527606774,0.2511538741096089,0.3044179324956698,0.2911925333063572,0.3166975577845617,0.3671698774019831,0.3503792845039752,0.3972052623927896,0.5003536981394437,0.4786079280377701,0.5369421427533072,1.0,0.48,0.54,0.27,0.372099673457014,0.370822055378282,0.76195059351941,0.686953042505944,0.24620789289567,0.263958535741147,0.783477321814255,0.732261077589239,0.09,0.04,0.02360743740962651,0.007000000000000006,0.1879999999999999,0.05599999999999994,-0.0350000000000001,-0.023000000000000003,0.026220162093978393,-0.057999999999999996,22567.0,39955.0,0.27
California,Del Norte,"Del Norte, California",6015,0.21146407785451196,0.039798983673469394,4592.999771,39.003004000000004,27812,21720,980,0.5901124877730681,0.812,0.659,0.117745353765895,0.143,0.24,0.84,0.8540000000000001,1.0,0.104,0.085,0.0,0.054,0.06,0.0,0.077,0.057,0.0,1.1,101.5079833178869,11.44917516218721,40.98980537534754,48.56248557692308,13.81745192307692,58.76442307692308,0.999681630054123,0.746577523081821,0.120343839541547,0.495702005730659,0.984718242597899,0.776822667940146,2,2.8765,1,5,0,1232,6,4429.742557169567,0.487012987012987,D,6461,4677,314,11452,0,0.5641809290953546,23674.0,24264.0,23335.0,45283.0,46473.0,103661.0,1006.2273655,27.25427765162485,0.225,0.1669999999999999,0.21,0.374,0.017,0.096,0.8787,0.6765,0.8017,0.9968,0.9713,0.159,8,5,96.7,35.769303335,57.394244118,609.10920066,0.0720192722565798,0.0817679558011049,0.010204081632653,0.1842010642887962,0.2105432780847145,0.0326530612244898,0.2292176039119804,0.1985267034990792,0.0938775510204081,0.2835107147993672,0.2474677716390423,0.2336734693877551,0.3515029483676111,0.3121546961325966,0.363265306122449,0.4983460376815763,0.458195211786372,0.6183673469387755,0.0,0.36,0.37,0.0,0.36160614364502,0.368791867450626,0.560975609756098,0.556141874056872,0.243676528613645,0.281300099271864,0.893617021276596,0.870407726723657,0.15,0.06,0.17166509418104256,0.15300000000000002,-0.097,-0.1459999999999999,0.085,0.06,0.07156387416845189,0.057,929.0,-57188.0,0.37
California,El Dorado,"El Dorado, California",6017,0.24981277355852483,0.2134847025,42701.996261,426.96940500000005,192843,170936,2000,0.6797184078802966,0.942,0.871,0.2507722369442436,0.3379999999999999,0.318,0.901,0.901,0.863,0.061,0.061,0.091,0.035,0.034,0.046,0.055,0.053,0.099,0.6,124.793201182703,17.96250252556363,34.27417765184181,36.57666590612777,9.584219035202088,46.94198174706649,0.767271569563833,0.1056988220312,0.425978987583572,0.0499840815027062,0.911493155046164,0.430117796879975,4,1.7112,2,26,1,9547,108,4950.6593446482375,1.13124541740861,D,61838,51621,2679,116138,0,0.5324527717026296,42749.0,44005.0,31829.0,83377.0,82487.0,87944.0,1707.8412963,109.29645535823316,0.089,0.1969999999999999,0.133,0.218,0.017,0.0409999999999999,0.171,0.1016,0.6937,0.2209,0.1838,0.0969999999999999,20,14,67.4,58.879477026,113.89489814,217.58394569,0.0842395108974658,0.0891620255534235,0.058,0.2193701612192301,0.2309402349417325,0.147,0.2174463164335755,0.2078555716759489,0.233,0.2666106625596988,0.2550720737585997,0.301,0.3170247299616787,0.3045818317966958,0.359,0.4267720373568135,0.4130142275471521,0.485,1.0,0.48,0.49,0.39,0.361631548646961,0.365255285562294,0.692022263450835,0.611921920729198,0.232310114925251,0.258171679809702,0.718997361477573,0.690413535931414,0.1,0.04,0.03632807105852481,0.07099999999999995,0.019999999999999907,0.038000000000000034,-0.03,-0.011999999999999997,0.03116202555342349,-0.046000000000000006,12176.0,-5457.0,0.09999999999999998
California,Fresno,"Fresno, California",6019,0.12753355189871432,0.14011257442734926,97588.92898,8123.166615,999101,765202,57976,0.466167363644912,0.7859999999999999,0.847,0.1311641758348497,0.2239999999999999,0.184,0.8370000000000001,0.8390000000000001,0.773,0.092,0.088,0.1159999999999999,0.07,0.071,0.11,0.087,0.076,0.175,2.1,166.9874893719807,39.43400282953761,23.7450885668277,117.1545341957255,14.54613250843645,42.15343082114736,0.824578159821713,0.697230181470869,0.289398280802292,0.505571474052849,0.995861190703598,0.765042979942694,72,2.0218,6,110,14,99814,1626,9990.3813528362,1.6290299957921734,D,164464,193025,7320,364809,0,0.4508222110748364,24422.0,26855.0,20281.0,53969.0,57145.0,33397.0,5958.0959769,164.1682181341633,0.241,0.1169999999999999,0.13,0.7020000000000001,0.12,0.085,0.9242,0.6905,0.9892,0.844,0.9611,0.2339999999999999,25,11,53.3,48.479736713,335.74169988,541.77921571,0.051750523720825,0.0565902859637063,0.0342383055057265,0.125547867532912,0.1351708437771987,0.0919518421415758,0.3094131624330273,0.3052736401629896,0.3218573202704567,0.3789416685600354,0.3730269915656258,0.4019766800055195,0.4591437702494542,0.4491376133360864,0.4935663032979164,0.6012715431172624,0.5858792841628746,0.6388505588519388,1.0,0.45,0.49,0.3,0.38537141942221,0.38059115846517,0.87531017369727,0.776538928907328,0.347508075929048,0.360915888846949,1.30754817987152,1.23103221283599,0.13,0.05,-0.012579022528634937,-0.061000000000000054,0.0399999999999999,0.06600000000000006,-0.0279999999999999,-0.03900000000000001,0.0223519804579798,-0.09899999999999999,6574.0,23748.0,0.19
